№,ОКТМО,Регион,Код_региона (ОКТМО),Тип_МО,Код_типа_МО,Наименование_МО,Код_наименования_МО,Тип_НП_МО,"Наименование ГО, наслега",тип НП (сокр),тип НП,Наименование НП,ОКТМО.1,Население (на 2023 год),тип населения,Геопозиция (широта),Геопозиция (долгота),Unnamed: 18,Сумма населения,1063586,Тип,в процентах,Unnamed: 23,Количество ошибок геопозиции,0,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
311,98629464101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Мегино-Кангаласский муниципальный район,98629000,Сельские поселения Мегино-Кангаласского муниципального района,Холгуминский наслег,с,село,Бырама,98629464101,286,2,61.4794444444444,130.946666666667,,,,,,,,,,,,
312,98629465101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Мегино-Кангаласский муниципальный район,98629000,Сельские поселения Мегино-Кангаласского муниципального района,Чыамайыкинский наслег,с,село,Даркылах,98629465101,418,2,60.9730555555556,130.371944444444,,,,,,,,,,,,
313,98631101001,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Мирнинский муниципальный район,98631000,Городские поселения Мирнинского муниципального района,город Мирный,г,город,Мирный,98631101001,34013,1,62.5425,113.984166666667,,,,,,,,,,,,
314,98631101106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Мирнинский муниципальный район,98631000,Городские поселения Мирнинского муниципального района,город Мирный,с,село,Березовка,98631101106,5,2,62.45426027,114.13401695,,,,,,,,,,,,
315,98631109001,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Мирнинский муниципальный район,98631000,Городские поселения Мирнинского муниципального района,город Удачный,г,город,Удачный,98631109001,13349,1,66.4086111111111,112.298888888889,,,,,,,,,,,,
316,98631109106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Мирнинский муниципальный район,98631000,Городские поселения Мирнинского муниципального района,город Удачный,с,село,Полярный,98631109106,0,2,66.41,112.12,,,,,,,,,,,,
317,98631152051,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Мирнинский муниципальный район,98631000,Городские поселения Мирнинского муниципального района,поселок Айхал,п,поселок,Айхал,98631152051,13359,1,65.9427777777778,111.495277777778,,,,,,,,,,,,
318,98631152106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Мирнинский муниципальный район,98631000,Городские поселения Мирнинского муниципального района,поселок Айхал,с,село,Моркока,98631152106,0,2,64.6080555555556,112.5225,,,,,,,,,,,,
319,98631155051,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Мирнинский муниципальный район,98631000,Городские поселения Мирнинского муниципального района,поселок Алмазный,п,поселок,Алмазный,98631155051,1598,1,62.4502777777778,114.321944444444,,,,,,,,,,,,
320,98631155111,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Мирнинский муниципальный район,98631000,Городские поселения Мирнинского муниципального района,поселок Алмазный,с,село,Новый,98631155111,71,2,62.4208333333333,114.357777777778,,,,,,,,,,,,
321,98631157051,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Мирнинский муниципальный район,98631000,Городские поселения Мирнинского муниципального района,поселок Светлый,п,поселок,Светлый,98631157051,2981,1,63.0508333333333,113.428611111111,,,,,,,,,,,,
322,98631162051,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Мирнинский муниципальный район,98631000,Городские поселения Мирнинского муниципального района,поселок Чернышевский,п,поселок,Чернышевский,98631162051,3383,1,63.0166666666667,112.461944444444,,,,,,,,,,,,
323,98631404101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Мирнинский муниципальный район,98631000,Сельские поселения Мирнинского муниципального района,Ботуобуйинский наслег,с,село,Тас-Юрях,98631404101,406,2,61.7863888888889,113.023611111111,,,,,,,,,,,,
324,98631428101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Мирнинский муниципальный район,98631000,Сельские поселения Мирнинского муниципального района,Садынский национальный эвенкийский наслег,с,село,Сюльдюкар,98631428101,263,2,63.2283333333333,113.721388888889,,,,,,,,,,,,
325,98631450101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Мирнинский муниципальный район,98631000,Сельские поселения Мирнинского муниципального района,Чуонинский наслег,с,село,Арылах,98631450101,1564,2,62.38,114.343055555556,,,,,,,,,,,,
326,98631450106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Мирнинский муниципальный район,98631000,Сельские поселения Мирнинского муниципального района,Чуонинский наслег,с,село,Заря,98631450106,103,2,62.105,114.189166666667,,,,,,,,,,,,
327,0,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Мирнинский муниципальный район,98631000,Межселенные территории Мирнинского муниципального района,"Межселенная территория Мирнинского муниципального района, находящаяся вне границ городских и сельских поселений",0,0,0,0,0,2,,,,,,,,,,,,,,
328,98633405101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Момский муниципальный район,98633000,Сельские поселения Момского муниципального района,Чыбагалахский национальный наслег,с,село,Кулун-Елбют,98633405101,226,2,66.7925,142.735833333333,,,,,,,,,,,,
329,98633414101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Момский муниципальный район,98633000,Сельские поселения Момского муниципального района,Индигирский национальный наслег,с,село,Буор-Сысы,98633414101,352,2,66.4886111111111,143.049166666667,,,,,,,,,,,,
330,98633423101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Момский муниципальный район,98633000,Сельские поселения Момского муниципального района,Момский национальный наслег,с,село,Хонуу,98633423101,2052,2,66.455,143.219722222222,,,,,,,,,,,,
331,98633423106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Момский муниципальный район,98633000,Сельские поселения Момского муниципального района,Момский национальный наслег,с,село,Суон-Тит,98633423106,90,2,66.4319444444444,143.252777777778,,,,,,,,,,,,
332,98633428101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Момский муниципальный район,98633000,Сельские поселения Момского муниципального района,Соболохский национальный наслег,с,село,Соболох,98633428101,252,2,66.2530555555556,143.313333333333,,,,,,,,,,,,
333,98633430101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Момский муниципальный район,98633000,Сельские поселения Момского муниципального района,Тебюляхский национальный наслег,с,село,Чумпу-Кытыл,98633430101,214,2,65.3711111111111,143.150555555556,,,,,,,,,,,,
334,98633435101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Момский муниципальный район,98633000,Сельские поселения Момского муниципального района,Улахан-Чистайский национальный наслег,с,село,Сасыр,98633435101,687,2,65.1622222222222,147.082222222222,,,,,,,,,,,,
335,98635405101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Намский муниципальный район,98635000,Сельские поселения Намского муниципального района,Арбынский наслег,с,село,Сыгыннах,98635405101,232,2,63.3677777777778,129.657777777778,,,,,,,,,,,,
336,98635410101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Намский муниципальный район,98635000,Сельские поселения Намского муниципального района,Бетюнский наслег,с,село,Бютяй-Юрдя,98635410101,581,2,62.8272222222222,129.601111111111,,,,,,,,,,,,
337,98635415101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Намский муниципальный район,98635000,Сельские поселения Намского муниципального района,Едейский наслег,с,село,Ымыяхтах,98635415101,1195,2,62.4561111111111,129.885277777778,,,,,,,,,,,,
338,98635417101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Намский муниципальный район,98635000,Сельские поселения Намского муниципального района,Искровский наслег,с,село,Кюренг-Ат,98635417101,202,2,62.7338888888889,129.23,,,,,,,,,,,,
339,98635420101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Намский муниципальный район,98635000,Сельские поселения Намского муниципального района,Кебекенский наслег,с,село,Харыялах,98635420101,469,2,62.1408333333333,129.736111111111,,,,,,,,,,,,
340,98635425101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Намский муниципальный район,98635000,Сельские поселения Намского муниципального района,Ленский наслег,с,село,Намцы,98635425101,10364,2,62.7186111111111,129.665,,,,,,,,,,,,
341,98635430101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Намский муниципальный район,98635000,Сельские поселения Намского муниципального района,Модутский наслег,с,село,Тумул,98635430101,974,2,62.9025,129.559722222222,,,,,,,,,,,,
342,98635432101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Намский муниципальный район,98635000,Сельские поселения Намского муниципального района,Никольский наслег,с,село,Никольский,98635432101,453,2,62.6288888888889,129.713055555556,,,,,,,,,,,,
343,98635435101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Намский муниципальный район,98635000,Сельские поселения Намского муниципального района,Партизанский наслег,с,село,Партизан,98635435101,961,2,62.5861111111111,129.771111111111,,,,,,,,,,,,
344,98635440101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Намский муниципальный район,98635000,Сельские поселения Намского муниципального района,Салбанский наслег,с,село,Хонгор-Бие,98635440101,324,2,62.8430555555556,128.462222222222,,,,,,,,,,,,
345,98635443101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Намский муниципальный район,98635000,Сельские поселения Намского муниципального района,Тастахский наслег,с,село,Ергёлёх,98635443101,292,2,62.5827777777778,128.868333333333,,,,,,,,,,,,
346,98635445101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Намский муниципальный район,98635000,Сельские поселения Намского муниципального района,Тюбинский наслег,с,село,Булус,98635445101,382,2,63.3052777777778,129.456388888889,,,,,,,,,,,,
347,98635447101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Намский муниципальный район,98635000,Сельские поселения Намского муниципального района,Фрунзенский наслег,с,село,Фрунзе,98635447101,130,2,63.0755555555556,129.728611111111,,,,,,,,,,,,
348,98635450101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Намский муниципальный район,98635000,Сельские поселения Намского муниципального района,Хамагаттинский наслег,с,село,Крест-Кытыл,98635450101,1906,2,62.6647222222222,129.703611111111,,,,,,,,,,,,
349,98635455101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Намский муниципальный район,98635000,Сельские поселения Намского муниципального района,Хатын-Арынский наслег,с,село,Аппаны,98635455101,2065,2,62.7594444444444,129.651111111111,,,,,,,,,,,,
350,98635455106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Намский муниципальный район,98635000,Сельские поселения Намского муниципального района,Хатын-Арынский наслег,с,село,Графский Берег,98635455106,770,2,62.7747222222222,129.689722222222,,,,,,,,,,,,
351,98635455111,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Намский муниципальный район,98635000,Сельские поселения Намского муниципального района,Хатын-Арынский наслег,с,село,Кысыл-Деревня,98635455111,277,2,62.7830555555556,129.642222222222,,,,,,,,,,,,
352,98635460101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Намский муниципальный район,98635000,Сельские поселения Намского муниципального района,Хатырыкский наслег,с,село,Столбы,98635460101,1053,2,62.9977777777778,129.528333333333,,,,,,,,,,,,
353,98635465101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Намский муниципальный район,98635000,Сельские поселения Намского муниципального района,Хомустахский 1-й наслег,с,село,Кысыл-Сыр,98635465101,1647,2,62.5377777777778,129.761944444444,,,,,,,,,,,,
354,98635466101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Намский муниципальный район,98635000,Сельские поселения Намского муниципального района,Хомустахский 2-й наслег,с,село,Хатас,98635466101,735,2,62.6805555555556,129.911944444444,,,,,,,,,,,,
355,98635466106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Намский муниципальный район,98635000,Сельские поселения Намского муниципального района,Хомустахский 2-й наслег,с,село,Воин,98635466106,27,2,62.6247222222222,129.959166666667,,,,,,,,,,,,
356,98635466111,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Намский муниципальный район,98635000,Сельские поселения Намского муниципального района,Хомустахский 2-й наслег,с,село,Тарагай-Бясь,98635466111,41,2,62.6613888888889,129.942777777778,,,,,,,,,,,,
357,98635466116,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Намский муниципальный район,98635000,Сельские поселения Намского муниципального района,Хомустахский 2-й наслег,с,село,Юнер-Олох,98635466116,1,2,62.7575,129.855277777778,,,,,,,,,,,,
358,98635470101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Намский муниципальный район,98635000,Сельские поселения Намского муниципального района,Маймагинский наслег,с,село,Маймага,98635470101,139,2,63.0438888888889,129.519166666667,,,,,,,,,,,,
359,98637151051,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Нижнеколымский муниципальный район,98637000,Городские поселения Нижнеколымского муниципального района,поселок Черский,п,поселок,Черский,98637151051,2641,1,68.7519444444444,161.33,,,,,,,,,,,,
360,98637411101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Нижнеколымский муниципальный район,98637000,Сельские поселения Нижнеколымского муниципального района,"Национальный юкагирский ""Олеринский Суктул""",с,село,Андрюшкино,98637411101,741,2,69.1725,154.445,,,,,,,,,,,,
361,98637424101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Нижнеколымский муниципальный район,98637000,Сельские поселения Нижнеколымского муниципального района,Походский наслег,с,село,Походск,98637424101,197,2,69.0794444444444,160.969444444444,,,,,,,,,,,,
362,98637424106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Нижнеколымский муниципальный район,98637000,Сельские поселения Нижнеколымского муниципального района,Походский наслег,с,село,Амбарчик,98637424106,0,2,69.6261111111111,162.304722222222,,,,,,,,,,,,
363,98637424111,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Нижнеколымский муниципальный район,98637000,Сельские поселения Нижнеколымского муниципального района,Походский наслег,с,село,Две виски,98637424111,0,2,68.3558333333333,160.768333333333,,,,,,,,,,,,
364,98637424116,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Нижнеколымский муниципальный район,98637000,Сельские поселения Нижнеколымского муниципального района,Походский наслег,с,село,Ермолово,98637424116,0,2,68.4836111111111,160.491944444444,,,,,,,,,,,,
365,98637424121,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Нижнеколымский муниципальный район,98637000,Сельские поселения Нижнеколымского муниципального района,Походский наслег,с,село,Крестовая,98637424121,0,2,70.7152777777778,159.435833333333,,,,,,,,,,,,
366,98637424126,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Нижнеколымский муниципальный район,98637000,Сельские поселения Нижнеколымского муниципального района,Походский наслег,с,село,Михалкино,98637424126,0,2,69.4169444444444,161.512222222222,,,,,,,,,,,,
367,98637424131,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Нижнеколымский муниципальный район,98637000,Сельские поселения Нижнеколымского муниципального района,Походский наслег,с,село,Нижнеколымск,98637424131,4,2,68.5316666666667,160.926666666667,,,,,,,,,,,,
368,98637424136,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Нижнеколымский муниципальный район,98637000,Сельские поселения Нижнеколымского муниципального района,Походский наслег,с,село,Тимкино,98637424136,0,2,68.5147222222222,160.121666666667,,,,,,,,,,,,
369,98637424141,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Нижнеколымский муниципальный район,98637000,Сельские поселения Нижнеколымского муниципального района,Походский наслег,с,село,Чукочья,98637424141,0,2,70.1027777777778,159.613333333333,,,,,,,,,,,,
370,98637437101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Нижнеколымский муниципальный район,98637000,Сельские поселения Нижнеколымского муниципального района,Чукотский национальный Халарчинский наслег,с,село,Колымское,98637437101,765,2,68.7277777777778,158.703611111111,,,,,,,,,,,,
371,98639151051,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Оймяконский муниципальный район,98639000,Городские поселения Оймяконского муниципального района,поселок Усть-Нера,п,поселок,Усть-Нера,98639151051,4160,1,64.5708333333333,143.239722222222,,,,,,,,,,,,
372,98639153051,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Оймяконский муниципальный район,98639000,Городские поселения Оймяконского муниципального района,поселок Артык,п,поселок,Артык,98639153051,336,1,64.1805555555556,145.130833333333,,,,,,,,,,,,
373,98639153106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Оймяконский муниципальный район,98639000,Городские поселения Оймяконского муниципального района,поселок Артык,с,село,Делянкир,98639153106,0,2,63.8377777777778,145.603611111111,,,,,,,,,,,,
374,98639405101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Оймяконский муниципальный район,98639000,Сельские поселения Оймяконского муниципального района,Оймякон Полюс Холода,с,село,Оймякон,98639405101,560,2,63.4636111111111,142.786666666667,,,,,,,,,,,,
375,98639405106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Оймяконский муниципальный район,98639000,Сельские поселения Оймяконского муниципального района,Оймякон Полюс Холода,с,село,Берег-Юрдя,98639405106,195,2,63.4541666666667,142.896666666667,,,,,,,,,,,,
376,98639405111,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Оймяконский муниципальный район,98639000,Сельские поселения Оймяконского муниципального района,Оймякон Полюс Холода,с,село,Хара-Тумул,98639405111,90,2,63.4755555555556,142.730555555556,,,,,,,,,,,,
377,98639410101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Оймяконский муниципальный район,98639000,Сельские поселения Оймяконского муниципального района,Борогонский 2-й наслег,с,село,Томтор,98639410101,998,2,63.2636111111111,143.210277777778,,,,,,,,,,,,
378,98639410106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Оймяконский муниципальный район,98639000,Сельские поселения Оймяконского муниципального района,Борогонский 2-й наслег,с,село,Агаякан,98639410106,0,2,63.3355555555556,141.731388888889,,,,,,,,,,,,
379,98639410111,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Оймяконский муниципальный район,98639000,Сельские поселения Оймяконского муниципального района,Борогонский 2-й наслег,с,село,Аэропорт,98639410111,41,2,63.2452777777778,143.182777777778,,,,,,,,,,,,
380,98639410116,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Оймяконский муниципальный район,98639000,Сельские поселения Оймяконского муниципального района,Борогонский 2-й наслег,с,село,Куйдусун,98639410116,102,2,63.2591666666667,143.248333333333,,,,,,,,,,,,
381,98639427101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Оймяконский муниципальный район,98639000,Сельские поселения Оймяконского муниципального района,Сордоннохский национальный наслег,с,село,Орто-Балаган,98639427101,414,2,63.1627777777778,144.018055555556,,,,,,,,,,,,
382,98639427106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Оймяконский муниципальный район,98639000,Сельские поселения Оймяконского муниципального района,Сордоннохский национальный наслег,с,село,Куранах-Сала,98639427106,0,2,63.1402777777778,144.442777777778,,,,,,,,,,,,
383,98639432101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Оймяконский муниципальный район,98639000,Сельские поселения Оймяконского муниципального района,Терютский наслег,с,село,Терют,98639432101,340,2,64.2472222222222,142.079166666667,,,,,,,,,,,,
384,98639445101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Оймяконский муниципальный район,98639000,Сельские поселения Оймяконского муниципального района,Ючюгейский национальный наслег,с,село,Ючюгей,98639445101,374,2,63.3025,142.167777777778,,,,,,,,,,,,
385,98639445106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Оймяконский муниципальный район,98639000,Сельские поселения Оймяконского муниципального района,Ючюгейский национальный наслег,с,село,Кюбеме,98639445106,0,2,63.4280555555556,140.600277777778,,,,,,,,,,,,
386,0,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Оймяконский муниципальный район,98639000,Межселенные территории Оймяконского муниципального района,"Межселенная территория Оймяконского муниципального района, находящаяся вне границ городских и сельских поселений",0,0,0,0,0,2,,,,,,,,,,,,,,
387,98641101001,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Олекминский муниципальный район,98641000,Городские поселения Олекминского муниципального района,город Олекминск,г,город,Олёкминск,98641101001,8457,1,60.3752777777778,120.428888888889,,,,,,,,,,,,
388,98641101106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Олекминский муниципальный район,98641000,Городские поселения Олекминского муниципального района,город Олекминск,с,село,Авиапорт,98641101106,258,2,60.3963888888889,120.466111111111,,,,,,,,,,,,
389,98641101111,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Олекминский муниципальный район,98641000,Городские поселения Олекминского муниципального района,город Олекминск,с,село,Затон ЛОРПа,98641101111,1,2,60.3869444444444,120.339444444444,,,,,,,,,,,,
390,98641101116,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Олекминский муниципальный район,98641000,Городские поселения Олекминского муниципального района,город Олекминск,с,село,Нефтебаза,98641101116,205,2,60.3772222222222,120.601388888889,,,,,,,,,,,,
391,98641101121,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Олекминский муниципальный район,98641000,Городские поселения Олекминского муниципального района,город Олекминск,с,село,Селиваново,98641101121,486,2,60.3822222222222,120.523888888889,,,,,,,,,,,,
392,98641405101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Олекминский муниципальный район,98641000,Сельские поселения Олекминского муниципального района,Абагинский наслег,с,село,Абага,98641405101,553,2,60.3233333333333,120.018333333333,,,,,,,,,,,,
393,98641405106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Олекминский муниципальный район,98641000,Сельские поселения Олекминского муниципального района,Абагинский наслег,с,село,Абага центральная,98641405106,307,2,60.3094444444444,119.986388888889,,,,,,,,,,,,
394,98641410101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Олекминский муниципальный район,98641000,Сельские поселения Олекминского муниципального района,Дабанский наслег,с,село,Дабан,98641410101,313,2,60.1222222222222,119.205555555556,,,,,,,,,,,,
395,98641410106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Олекминский муниципальный район,98641000,Сельские поселения Олекминского муниципального района,Дабанский наслег,с,село,Кочегарово,98641410106,0,2,59.9380555555556,118.895,,,,,,,,,,,,
396,98641410111,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Олекминский муниципальный район,98641000,Сельские поселения Олекминского муниципального района,Дабанский наслег,с,село,Черендей,98641410111,1,2,60.2166666666667,119.348055555556,,,,,,,,,,,,
