№,ОКТМО,Регион,Код_региона (ОКТМО),Тип_МО,Код_типа_МО,Наименование_МО,Код_наименования_МО,Тип_НП_МО,"Наименование ГО, наслега",тип НП (сокр),тип НП,Наименование НП,ОКТМО.1,Население (на 2023 год),тип населения,Геопозиция (широта),Геопозиция (долгота),Unnamed: 18,Сумма населения,1063586,Тип,в процентах,Unnamed: 23,Количество ошибок геопозиции,0,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
31,98603161106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Алданский муниципальный район,98603000,Городские поселения Алданского муниципального района,поселок Ленинский,с,село,Орочен 1-й,98603161106,16,2,58.4841666666667,125.424166666667,,69032,Нерюнгринский муниципальный район,,,,,,,,,
32,98603161111,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Алданский муниципальный район,98603000,Городские поселения Алданского муниципального района,поселок Ленинский,с,село,Якокут,98603161111,8,2,58.5283333333333,125.716388888889,,4348,Нижнеколымский муниципальный район,,,,,,,,,
33,98603170051,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Алданский муниципальный район,98603000,Городские поселения Алданского муниципального района,поселок Нижний Куранах,п,поселок,Нижний Куранах,98603170051,5418,1,58.8175,125.527222222222,,24144,Нюрбинский муниципальный район,,,,,,,,,
34,98603170106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Алданский муниципальный район,98603000,Городские поселения Алданского муниципального района,поселок Нижний Куранах,с,село,Верхний Куранах,98603170106,432,2,58.755,125.483333333333,,7610,Оймяконский муниципальный район,,,,,,,,,
35,98603170111,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Алданский муниципальный район,98603000,Городские поселения Алданского муниципального района,поселок Нижний Куранах,с,село,Якокит,98603170111,201,2,58.8975,125.8375,,21610,Олекминский муниципальный район,,,,,,,,,
36,98603404101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Алданский муниципальный район,98603000,Сельские поселения Алданского муниципального района,Национальный наслег Анамы,с,село,Кутана,98603404101,530,2,59.015,131.744444444444,,4326,Оленекский эвенкийский национальный муниципальный район,,,,,,,,,
37,98603407101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Алданский муниципальный район,98603000,Сельские поселения Алданского муниципального района,Беллетский эвенкийский национальный наслег,с,село,Хатыстыр,98603407101,1437,2,58.9230555555556,125.16,,6977,Среднеколымский муниципальный район,,,,,,,,,
38,98603407106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Алданский муниципальный район,98603000,Сельские поселения Алданского муниципального района,Беллетский эвенкийский национальный наслег,с,село,Угоян,98603407106,291,2,59.2536111111111,125.290555555556,,22846,Сунтарский муниципальный район,,,,,,,,,
39,98603460101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Алданский муниципальный район,98603000,Сельские поселения Алданского муниципального района,Чагдинский наслег,с,село,Чагда,98603460101,181,2,58.7494444444444,130.608333333333,,16299,Таттинский муниципальный район,,,,,,,,,
40,98604405101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Таттинский муниципальный район,98604000,Сельские поселения Таттинского муниципального района,Алданский наслег,с,село,Булун,98604405101,1153,2,63.0166666666667,133.470833333333,,11200,Томпонский муниципальный район,,,,,,,,,
