Район,Наслег,ОКТМО,Бассейн рек,Населенный пункт,Год,Месяц,День,в % от нормы,Unnamed: 9,"Кол-во ошибок ""#н/д""",0
Городской округ Город Якутск,город Якутск,98701000001,р.Лена,Якутск,2019,3,10,165,,,
Намский муниципальный район,Ленский наслег,98635425101,р.Лена,Намцы,2019,3,10,80,,,
Горный муниципальный район,Бердигестяхский наслег,98620410101,р.Лена,Бердигестях,2019,3,10,120,,,
Кобяйский муниципальный район,поселок Сангар,98624151051,р.Лена,Сангары,2019,3,10,80,,,
Жиганский национальный эвенкийский муниципальный район,Жиганский эвенкийский национальный наслег,98622410101,р.Лена,Жиганск,2019,3,10,120,,,
Жиганский национальный эвенкийский муниципальный район,,98622405101,р.Лена,Бестяхская з/ф,2019,3,10,100,,,
Жиганский национальный эвенкийский муниципальный район,Джарджан,98622410101,р.Лена,Джарджан,2019,3,10,120,,,
Булунский муниципальный район,Булунский национальный (эвенкийский) наслег,98612412101,р.Лена,Кюсюр,2019,3,10,100,,,
Алданский муниципальный район,город Томмот,98603105111,р.Амга,Буяга,2019,3,10,100,,,
Амгинский муниципальный район,Амгино-Нахаринский наслег,98608429111,р.Амга,Тегюльтя,2019,3,10,165,,,
Амгинский муниципальный район,Амгинский наслег,98608432101,р.Амга,Амга,2019,3,10,120,,,
Алданский муниципальный район,Нагорный,98603105106,р.Алдан,Нагорный,2019,3,10,100,,,
Нерюнгринский муниципальный район,поселок Чульман,98660165051,р.Алдан,Чульман,2019,3,10,165,,,
Алданский муниципальный район,,98603101111,р.Алдан,Канку,2019,3,10,165,,,
Момский муниципальный район,Момский национальный наслег,98633423106,р.Алдан,Суон-Тит,2019,3,10,165,,,
Алданский муниципальный район,город Томмот,98603105001,р.Алдан,Томмот,2019,3,10,120,,,
Алданский муниципальный район,Угино,98603105001,р.Алдан,Угино,2019,3,10,165,,,
Олекминский муниципальный район,Жарханский национальный наслег,98641420101,р.Алдан,Токо,2019,3,10,165,,,
Алданский муниципальный район,Чюльбю,98603460101,р.Алдан,Чюльбю,2019,3,10,100,,,
Алданский муниципальный район,,98603460101,р.Алдан,Учур,2019,3,10,100,,,
Усть-Майский муниципальный район,село Усть-Миль,98654415101,р.Алдан,Усть-Миль,2019,3,10,120,,,
Усть-Майский муниципальный район,поселок Усть-Мая,98654151106,р.Алдан,Усть-Юдома,2019,3,10,100,,,
Усть-Майский муниципальный район,поселок Югоренок,98654166051,р.Алдан,Югаренок,2019,3,10,100,,,
Усть-Майский муниципальный район,поселок Усть-Мая,98654151051,р.Алдан,Усть-Мая,2019,3,10,100,,,
Томпонский муниципальный район,Охот-Перевозовский наслег,98650425101,р.Алдан,Охотский Перевоз,2019,3,10,100,,,
Томпонский муниципальный район,Теплоключевской наслег,98650433101,р.Алдан,Теплый Ключ,2019,3,10,80,,,
Томпонский муниципальный район,Баягантайский наслег,98650405101,р.Алдан,Крест-Хальджай,2019,3,10,80,,,
Томпонский муниципальный район,Томпо,98650435101,р.Алдан,Томпо,2019,3,10,100,,,
Чурапчинский муниципальный район,Чурапчинский наслег,98658470101,р.Алдан,Чурапча,2019,3,10,100,,,
Усть-Алданский муниципальный район,,98652475101,р.Алдан,Верхоянский Перевоз,2019,3,10,165,,,
Кобяйский муниципальный район,Кировский эвенский национальный наслег,98624414106,р.Алдан,Батамай,2019,3,10,100,,,
Кобяйский муниципальный район,Кировский эвенский национальный наслег,98624414101,р.Алдан,Сегян-Кюель,2019,3,10,80,,,
Мирнинский муниципальный район,Лавинда,98631162051,р.Вилюй,Лавинда,2019,3,10,100,,,
Мирнинский муниципальный район,Чона,98631162051,р.Вилюй,Чона,2019,3,10,100,,,
Мирнинский муниципальный район,,98631162051,р.Вилюй,Туой-Хая,2019,3,10,100,,,
Мирнинский муниципальный район,поселок Чернышевский,98631162051,р.Вилюй,Чернышевский,2019,3,10,80,,,
Оленекский эвенкийский национальный муниципальный район,Хабардино,98642437101,р.Вилюй,Хабардино,2019,3,10,100,,,
Мирнинский муниципальный район,поселок Айхал,98631152051,р.Вилюй,Айхал,2019,3,10,80,,,
Оленекский эвенкийский национальный муниципальный район,Шелагонцы,98642450101,р.Вилюй,Шелагонцы,2019,3,10,80,,,
Нюрбинский муниципальный район,Чумпурук,98626410101,р.Вилюй,Чумпурук,2019,3,10,100,,,
Сунтарский муниципальный район,Крестяхский наслег,98648430101,р.Вилюй,Крестях,2019,3,10,100,,,
Сунтарский муниципальный район,Сунтарский наслег,98648455101,р.Вилюй,Сунтар,2019,3,10,100,,,
Нюрбинский муниципальный район,город Нюрба,98626101001,р.Вилюй,Нюрба,2019,3,10,100,,,
Верхневилюйский муниципальный район,Верхневилюйский наслег,98614412101,р.Вилюй,Верхневилюйск,2019,3,10,70,,,
Вилюйский муниципальный район,город Вилюйск,98618101001,р.Вилюй,Вилюйск,2019,3,10,100,,,
Оленекский эвенкийский национальный муниципальный район,Шологонский национальный наслег,98642450101,р.Вилюй,Эйк,2019,3,10,100,,,
Кобяйский муниципальный район,Арыктахский наслег,98624405111,р.Вилюй,Хатырык-Хомо,2019,3,10,100,,,
Оленекский эвенкийский национальный муниципальный район,Джалинда,98642437101,р.Анабар,Джалинда,2019,3,10,70,,,
Анабарский национальный (долгано-эвенкийский) муниципальный район,Саскылахский национальный (эвенкийский) наслег,98610411101,р.Анабар,Саскылах,2019,3,10,80,,,
Оленекский эвенкийский национальный муниципальный район,Ярольин,98642437101,р.Оленек,Ярольин,2019,3,10,80,,,
Оленекский эвенкийский национальный муниципальный район,Оленекский национальный наслег,98642437101,р.Оленек,Оленек,2019,3,10,80,,,
Оленекский эвенкийский национальный муниципальный район,Сухана,98642437101,р.Оленек,Сухана,2019,3,10,80,,,
Булунский муниципальный район,,98612445106,р.Оленек,Тюмети,2019,3,10,120,,,
Булунский муниципальный район,Тюметинский национальный (эвенкийский) наслег,98612445101,р.Оленек,Таймылыр,2019,3,10,,,,
Томпонский муниципальный район,,98650435101,р.Яна,Иэма,2019,3,10,100,,,
Верхоянский муниципальный район,,98616448101,р.Яна,Екючю,2019,3,10,70,,,
Верхоянский муниципальный район,поселок Батагай,98616151111,р.Яна,Усть-Чаркы,2019,3,10,100,,,
Верхоянский муниципальный район,город Верхоянск,98616103001,р.Яна,Верхоянск,2019,3,10,70,,,
Верхоянский муниципальный район,поселок Батагай,98616151051,р.Яна,Батагай,2019,3,10,80,,,
Эвено-Бытантайский национальный муниципальный район,Тюгясирский наслег,98659420101,р.Яна,Батагай-Алыта,2019,3,10,80,,,
Усть-Янский муниципальный район,Юбилейная,98656405101,р.Яна,Юбилейная,2019,3,10,80,,,
Оймяконский муниципальный район,Борогонский 2-й наслег,98639410106,р.Индигирка,Агаякан,2019,3,10,120,,,
Оймяконский муниципальный район,Оймякон Полюс Холода,98639405101,р.Индигирка,Оймякон,2019,3,10,80,,,
Оймяконский муниципальный район,поселок Артык,98639153106,р.Индигирка,Делянкир,2019,3,10,100,,,
Оймяконский муниципальный район,Юрты,98639432101,р.Индигирка,Юрты,2019,3,10,120,,,
Оймяконский муниципальный район,поселок Усть-Нера,98639151051,р.Индигирка,Усть-Нера,2019,3,10,100,,,
Момский муниципальный район,Момский национальный наслег,98633423101,р.Индигирка,Усть-Мома,2019,3,10,80,,,
Усть-Янский муниципальный район,поселок Депутатский,98656151051,р.Индигирка,Депутатский,2019,3,10,70,,,
Абыйский муниципальный район,поселок Белая Гора,98601151051,р.Индигирка,Белая Гора,2019,3,10,70,,,
Аллаиховский муниципальный район,поселок Чокурдах,98606151051,р.Индигирка,Чокурдах,2019,3,10,80,,,
Верхнеколымский муниципальный район,поселок Зырянка,98615151051,р.Колыма,Зырянка,2019,3,10,100,,,
Среднеколымский муниципальный район,город Среднеколымск,98646101001,р.Колыма,Среднеколымск,2019,3,10,100,,,
Нижнеколымский муниципальный район,поселок Черский,98637151051,р.Колыма,Черский,2019,3,10,80,,,
Ленский муниципальный район,поселок Витим,98627153051,р.Лена,Витим,2020,3,10,120,,,
Ленский муниципальный район,город Ленск,98627101001,р.Лена,Ленск,2020,3,10,100,,,
Ленский муниципальный район,Комака,98627433101,р.Лена,Комака,2020,3,10,100,,,
Ленский муниципальный район,,98627420106,р.Лена,Дорожный,2020,3,10,120,,,
Ленский муниципальный район,Нюйский наслег,98627430101,р.Лена,Нюя,2020,3,10,200,,,
Олекминский муниципальный район,Мачинский наслег,98641440101,р.Лена,Мача,2020,3,10,165,,,
Олекминский муниципальный район,,98641434106,р.Лена,Килеер,2020,3,10,165,,,
Олекминский муниципальный район,город Олекминск,98641101001,р.Лена,Олекминск,2020,3,10,120,,,
Олекминский муниципальный район,Тянский национальный наслег,98641475101,р.Лена,Тяня,2020,3,10,165,,,
Горный муниципальный район,Мытахский наслег,98620440101,р.Лена,Джикимда,2020,3,10,165,,,
Олекминский муниципальный район,Саныяхтахский наслег,98641460101,р.Лена,Саныяхтат,2020,3,10,165,,,
Хангаласский муниципальный район,Иситский наслег,98644412101,р.Лена,Исить,2020,3,10,165,,,
Горный муниципальный район,Малтанинский наслег,98620433106,р.Лена,Тонгулах,2020,3,10,120,,,
Хангаласский муниципальный район,город Покровск,98644101001,р.Лена,Покровск,2020,3,10,100,,,
Городской округ Город Якутск,город Якутск,98701000001,р.Лена,Якутск,2020,3,10,165,,,
Намский муниципальный район,Ленский наслег,98635425101,р.Лена,Намцы,2020,3,10,100,,,
Горный муниципальный район,Бердигестяхский наслег,98620410101,р.Лена,Бердигестях,2020,3,10,120,,,
Кобяйский муниципальный район,поселок Сангар,98624151051,р.Лена,Сангары,2020,3,10,100,,,
Жиганский национальный эвенкийский муниципальный район,Жиганский эвенкийский национальный наслег,98622410101,р.Лена,Жиганск,2020,3,10,165,,,
Жиганский национальный эвенкийский муниципальный район,,98622405101,р.Лена,Бестяхская з/ф,2020,3,10,165,,,
Жиганский национальный эвенкийский муниципальный район,Джарджан,98622410101,р.Лена,Джарджан,2020,3,10,165,,,
Булунский муниципальный район,Булунский национальный (эвенкийский) наслег,98612412101,р.Лена,Кюсюр,2020,3,10,100,,,
Алданский муниципальный район,город Томмот,98603105111,р.Амга,Буяга,2020,3,10,120,,,
Амгинский муниципальный район,Амгино-Нахаринский наслег,98608429111,р.Амга,Тегюльтя,2020,3,10,165,,,
Амгинский муниципальный район,Амгинский наслег,98608432101,р.Амга,Амга,2020,3,10,120,,,
Алданский муниципальный район,Нагорный,98603105106,р.Алдан,Нагорный,2020,3,10,165,,,
Нерюнгринский муниципальный район,поселок Чульман,98660165051,р.Алдан,Чульман,2020,3,10,165,,,
Алданский муниципальный район,,98603101111,р.Алдан,Канку,2020,3,10,165,,,
Момский муниципальный район,Момский национальный наслег,98633423106,р.Алдан,Суон-Тит,2020,3,10,120,,,
Алданский муниципальный район,город Томмот,98603105001,р.Алдан,Томмот,2020,3,10,165,,,
Алданский муниципальный район,Угино,98603105001,р.Алдан,Угино,2020,3,10,100,,,
Олекминский муниципальный район,Жарханский национальный наслег,98641420101,р.Алдан,Токо,2020,3,10,200,,,
Алданский муниципальный район,Чюльбю,98603460101,р.Алдан,Чюльбю,2020,3,10,120,,,
Алданский муниципальный район,,98603460101,р.Алдан,Учур,2020,3,10,165,,,
Усть-Майский муниципальный район,село Усть-Миль,98654415101,р.Алдан,Усть-Миль,2020,3,10,165,,,
Усть-Майский муниципальный район,поселок Усть-Мая,98654151106,р.Алдан,Усть-Юдома,2020,3,10,120,,,
Усть-Майский муниципальный район,поселок Югоренок,98654166051,р.Алдан,Югаренок,2020,3,10,200,,,
Усть-Майский муниципальный район,поселок Усть-Мая,98654151051,р.Алдан,Усть-Мая,2020,3,10,120,,,
Томпонский муниципальный район,Охот-Перевозовский наслег,98650425101,р.Алдан,Охотский Перевоз,2020,3,10,100,,,
Томпонский муниципальный район,Теплоключевской наслег,98650433101,р.Алдан,Теплый Ключ,2020,3,10,120,,,
Томпонский муниципальный район,Баягантайский наслег,98650405101,р.Алдан,Крест-Хальджай,2020,3,10,120,,,
Томпонский муниципальный район,Томпо,98650435101,р.Алдан,Томпо,2020,3,10,100,,,
Чурапчинский муниципальный район,Чурапчинский наслег,98658470101,р.Алдан,Чурапча,2020,3,10,120,,,
Усть-Алданский муниципальный район,,98652475101,р.Алдан,Верхоянский Перевоз,2020,3,10,120,,,
Кобяйский муниципальный район,Кировский эвенский национальный наслег,98624414106,р.Алдан,Батамай,2020,3,10,120,,,
Кобяйский муниципальный район,Кировский эвенский национальный наслег,98624414101,р.Алдан,Сегян-Кюель,2020,3,10,80,,,
Мирнинский муниципальный район,Лавинда,98631162051,р.Вилюй,Лавинда,2020,3,10,100,,,
Мирнинский муниципальный район,Чона,98631162051,р.Вилюй,Чона,2020,3,10,100,,,
Мирнинский муниципальный район,,98631162051,р.Вилюй,Туой-Хая,2020,3,10,100,,,
Мирнинский муниципальный район,поселок Чернышевский,98631162051,р.Вилюй,Чернышевский,2020,3,10,100,,,
Оленекский эвенкийский национальный муниципальный район,Хабардино,98642437101,р.Вилюй,Хабардино,2020,3,10,100,,,
Мирнинский муниципальный район,поселок Айхал,98631152051,р.Вилюй,Айхал,2020,3,10,120,,,
Оленекский эвенкийский национальный муниципальный район,Шелагонцы,98642450101,р.Вилюй,Шелагонцы,2020,3,10,165,,,
Нюрбинский муниципальный район,Чумпурук,98626410101,р.Вилюй,Чумпурук,2020,3,10,120,,,
Сунтарский муниципальный район,Крестяхский наслег,98648430101,р.Вилюй,Крестях,2020,3,10,100,,,
Сунтарский муниципальный район,Сунтарский наслег,98648455101,р.Вилюй,Сунтар,2020,3,10,120,,,
Нюрбинский муниципальный район,город Нюрба,98626101001,р.Вилюй,Нюрба,2020,3,10,165,,,
Верхневилюйский муниципальный район,Верхневилюйский наслег,98614412101,р.Вилюй,Верхневилюйск,2020,3,10,100,,,
Вилюйский муниципальный район,город Вилюйск,98618101001,р.Вилюй,Вилюйск,2020,3,10,120,,,
Оленекский эвенкийский национальный муниципальный район,Шологонский национальный наслег,98642450101,р.Вилюй,Эйк,2020,3,10,165,,,
Кобяйский муниципальный район,Арыктахский наслег,98624405111,р.Вилюй,Хатырык-Хомо,2020,3,10,120,,,
Оленекский эвенкийский национальный муниципальный район,Джалинда,98642437101,р.Анабар,Джалинда,2020,3,10,80,,,
Анабарский национальный (долгано-эвенкийский) муниципальный район,Саскылахский национальный (эвенкийский) наслег,98610411101,р.Анабар,Саскылах,2020,3,10,70,,,
Оленекский эвенкийский национальный муниципальный район,Ярольин,98642437101,р.Оленек,Ярольин,2020,3,10,120,,,
Оленекский эвенкийский национальный муниципальный район,Оленекский национальный наслег,98642437101,р.Оленек,Оленек,2020,3,10,120,,,
Оленекский эвенкийский национальный муниципальный район,Сухана,98642437101,р.Оленек,Сухана,2020,3,10,165,,,
Булунский муниципальный район,,98612445106,р.Оленек,Тюмети,2020,3,10,120,,,
Булунский муниципальный район,Тюметинский национальный (эвенкийский) наслег,98612445101,р.Оленек,Таймылыр,2020,3,10,120,,,
Томпонский муниципальный район,,98650435101,р.Яна,Иэма,2020,3,10,120,,,
Верхоянский муниципальный район,,98616448101,р.Яна,Екючю,2020,3,10,100,,,
Верхоянский муниципальный район,поселок Батагай,98616151111,р.Яна,Усть-Чаркы,2020,3,10,100,,,
Верхоянский муниципальный район,город Верхоянск,98616103001,р.Яна,Верхоянск,2020,3,10,70,,,
Верхоянский муниципальный район,поселок Батагай,98616151051,р.Яна,Батагай,2020,3,10,100,,,
Эвено-Бытантайский национальный муниципальный район,Тюгясирский наслег,98659420101,р.Яна,Батагай-Алыта,2020,3,10,120,,,
Усть-Янский муниципальный район,Юбилейная,98656405101,р.Яна,Юбилейная,2020,3,10,120,,,
Оймяконский муниципальный район,Борогонский 2-й наслег,98639410106,р.Индигирка,Агаякан,2020,3,10,165,,,
Оймяконский муниципальный район,Оймякон Полюс Холода,98639405101,р.Индигирка,Оймякон,2020,3,10,80,,,
Оймяконский муниципальный район,поселок Артык,98639153106,р.Индигирка,Делянкир,2020,3,10,80,,,
Оймяконский муниципальный район,Юрты,98639432101,р.Индигирка,Юрты,2020,3,10,100,,,
Оймяконский муниципальный район,поселок Усть-Нера,98639151051,р.Индигирка,Усть-Нера,2020,3,10,100,,,
Момский муниципальный район,Момский национальный наслег,98633423101,р.Индигирка,Усть-Мома,2020,3,10,70,,,
Усть-Янский муниципальный район,поселок Депутатский,98656151051,р.Индигирка,Депутатский,2020,3,10,100,,,
Абыйский муниципальный район,поселок Белая Гора,98601151051,р.Индигирка,Белая Гора,2020,3,10,70,,,
Аллаиховский муниципальный район,поселок Чокурдах,98606151051,р.Индигирка,Чокурдах,2020,3,10,100,,,
Верхнеколымский муниципальный район,поселок Зырянка,98615151051,р.Колыма,Зырянка,2020,3,10,120,,,
Среднеколымский муниципальный район,город Среднеколымск,98646101001,р.Колыма,Среднеколымск,2020,3,10,120,,,
Нижнеколымский муниципальный район,поселок Черский,98637151051,р.Колыма,Черский,2020,3,10,100,,,
Ленский муниципальный район,поселок Витим,98627153051,р.Лена,Витим,2021,3,10,165,,,
Ленский муниципальный район,город Ленск,98627101001,р.Лена,Ленск,2021,3,10,100,,,
Ленский муниципальный район,Комака,98627433101,р.Лена,Комака,2021,3,10,100,,,
Ленский муниципальный район,,98627420106,р.Лена,Дорожный,2021,3,10,165,,,
Ленский муниципальный район,Нюйский наслег,98627430101,р.Лена,Нюя,2021,3,10,200,,,
Олекминский муниципальный район,Мачинский наслег,98641440101,р.Лена,Мача,2021,3,10,165,,,
Олекминский муниципальный район,,98641434106,р.Лена,Килеер,2021,3,10,100,,,
Олекминский муниципальный район,город Олекминск,98641101001,р.Лена,Олекминск,2021,3,10,80,,,
Олекминский муниципальный район,Тянский национальный наслег,98641475101,р.Лена,Тяня,2021,3,10,100,,,
Горный муниципальный район,Мытахский наслег,98620440101,р.Лена,Джикимда,2021,3,10,100,,,
Олекминский муниципальный район,Саныяхтахский наслег,98641460101,р.Лена,Саныяхтат,2021,3,10,100,,,
Хангаласский муниципальный район,Иситский наслег,98644412101,р.Лена,Исить,2021,3,10,100,,,
Горный муниципальный район,Малтанинский наслег,98620433106,р.Лена,Тонгулах,2021,3,10,100,,,
Хангаласский муниципальный район,город Покровск,98644101001,р.Лена,Покровск,2021,3,10,100,,,
Городской округ Город Якутск,город Якутск,98701000001,р.Лена,Якутск,2021,3,10,165,,,
Намский муниципальный район,Ленский наслег,98635425101,р.Лена,Намцы,2021,3,10,80,,,
Горный муниципальный район,Бердигестяхский наслег,98620410101,р.Лена,Бердигестях,2021,3,10,120,,,
Кобяйский муниципальный район,поселок Сангар,98624151051,р.Лена,Сангары,2021,3,10,80,,,
Жиганский национальный эвенкийский муниципальный район,Жиганский эвенкийский национальный наслег,98622410101,р.Лена,Жиганск,2021,3,10,100,,,
Жиганский национальный эвенкийский муниципальный район,,98622405101,р.Лена,Бестяхская з/ф,2021,3,10,80,,,
Жиганский национальный эвенкийский муниципальный район,Джарджан,98622410101,р.Лена,Джарджан,2021,3,10,120,,,
Булунский муниципальный район,Булунский национальный (эвенкийский) наслег,98612412101,р.Лена,Кюсюр,2021,3,10,120,,,
Алданский муниципальный район,город Томмот,98603105111,р.Амга,Буяга,2021,3,10,165,,,
Амгинский муниципальный район,Амгино-Нахаринский наслег,98608429111,р.Амга,Тегюльтя,2021,3,10,165,,,
Амгинский муниципальный район,Амгинский наслег,98608432101,р.Амга,Амга,2021,3,10,165,,,
Алданский муниципальный район,Нагорный,98603105106,р.Алдан,Нагорный,2021,3,10,200,,,
Нерюнгринский муниципальный район,поселок Чульман,98660165051,р.Алдан,Чульман,2021,3,10,165,,,
Алданский муниципальный район,,98603101111,р.Алдан,Канку,2021,3,10,165,,,
Момский муниципальный район,Момский национальный наслег,98633423106,р.Алдан,Суон-Тит,2021,3,10,120,,,
Алданский муниципальный район,город Томмот,98603105001,р.Алдан,Томмот,2021,3,10,120,,,
Алданский муниципальный район,Угино,98603105001,р.Алдан,Угино,2021,3,10,165,,,
Олекминский муниципальный район,Жарханский национальный наслег,98641420101,р.Алдан,Токо,2021,3,10,80,,,
Алданский муниципальный район,Чюльбю,98603460101,р.Алдан,Чюльбю,2021,3,10,165,,,
Алданский муниципальный район,,98603460101,р.Алдан,Учур,2021,3,10,120,,,
Усть-Майский муниципальный район,село Усть-Миль,98654415101,р.Алдан,Усть-Миль,2021,3,10,165,,,
Усть-Майский муниципальный район,поселок Усть-Мая,98654151106,р.Алдан,Усть-Юдома,2021,3,10,100,,,
Усть-Майский муниципальный район,поселок Югоренок,98654166051,р.Алдан,Югаренок,2021,3,10,120,,,
Усть-Майский муниципальный район,поселок Усть-Мая,98654151051,р.Алдан,Усть-Мая,2021,3,10,100,,,
Томпонский муниципальный район,Охот-Перевозовский наслег,98650425101,р.Алдан,Охотский Перевоз,2021,3,10,80,,,
Томпонский муниципальный район,Теплоключевской наслег,98650433101,р.Алдан,Теплый Ключ,2021,3,10,80,,,
Томпонский муниципальный район,Баягантайский наслег,98650405101,р.Алдан,Крест-Хальджай,2021,3,10,80,,,
Томпонский муниципальный район,Томпо,98650435101,р.Алдан,Томпо,2021,3,10,100,,,
Чурапчинский муниципальный район,Чурапчинский наслег,98658470101,р.Алдан,Чурапча,2021,3,10,100,,,
Усть-Алданский муниципальный район,,98652475101,р.Алдан,Верхоянский Перевоз,2021,3,10,120,,,
Кобяйский муниципальный район,Кировский эвенский национальный наслег,98624414106,р.Алдан,Батамай,2021,3,10,100,,,
Кобяйский муниципальный район,Кировский эвенский национальный наслег,98624414101,р.Алдан,Сегян-Кюель,2021,3,10,100,,,
Мирнинский муниципальный район,Лавинда,98631162051,р.Вилюй,Лавинда,2021,3,10,100,,,
Мирнинский муниципальный район,Чона,98631162051,р.Вилюй,Чона,2021,3,10,100,,,
Мирнинский муниципальный район,,98631162051,р.Вилюй,Туой-Хая,2021,3,10,100,,,
Мирнинский муниципальный район,поселок Чернышевский,98631162051,р.Вилюй,Чернышевский,2021,3,10,80,,,
Оленекский эвенкийский национальный муниципальный район,Хабардино,98642437101,р.Вилюй,Хабардино,2021,3,10,80,,,
Мирнинский муниципальный район,поселок Айхал,98631152051,р.Вилюй,Айхал,2021,3,10,100,,,
Оленекский эвенкийский национальный муниципальный район,Шелагонцы,98642450101,р.Вилюй,Шелагонцы,2021,3,10,100,,,
Нюрбинский муниципальный район,Чумпурук,98626410101,р.Вилюй,Чумпурук,2021,3,10,80,,,
Сунтарский муниципальный район,Крестяхский наслег,98648430101,р.Вилюй,Крестях,2021,3,10,100,,,
Сунтарский муниципальный район,Сунтарский наслег,98648455101,р.Вилюй,Сунтар,2021,3,10,100,,,
Нюрбинский муниципальный район,город Нюрба,98626101001,р.Вилюй,Нюрба,2021,3,10,80,,,
Верхневилюйский муниципальный район,Верхневилюйский наслег,98614412101,р.Вилюй,Верхневилюйск,2021,3,10,80,,,
Вилюйский муниципальный район,город Вилюйск,98618101001,р.Вилюй,Вилюйск,2021,3,10,100,,,
Оленекский эвенкийский национальный муниципальный район,Шологонский национальный наслег,98642450101,р.Вилюй,Эйк,2021,3,10,120,,,
Кобяйский муниципальный район,Арыктахский наслег,98624405111,р.Вилюй,Хатырык-Хомо,2021,3,10,100,,,
Оленекский эвенкийский национальный муниципальный район,Джалинда,98642437101,р.Анабар,Джалинда,2021,3,10,100,,,
Анабарский национальный (долгано-эвенкийский) муниципальный район,Саскылахский национальный (эвенкийский) наслег,98610411101,р.Анабар,Саскылах,2021,3,10,165,,,
Оленекский эвенкийский национальный муниципальный район,Ярольин,98642437101,р.Оленек,Ярольин,2021,3,10,120,,,
Оленекский эвенкийский национальный муниципальный район,Оленекский национальный наслег,98642437101,р.Оленек,Оленек,2021,3,10,100,,,
Оленекский эвенкийский национальный муниципальный район,Сухана,98642437101,р.Оленек,Сухана,2021,3,10,165,,,
Булунский муниципальный район,,98612445106,р.Оленек,Тюмети,2021,3,10,165,,,
Булунский муниципальный район,Тюметинский национальный (эвенкийский) наслег,98612445101,р.Оленек,Таймылыр,2021,3,10,165,,,
Томпонский муниципальный район,,98650435101,р.Яна,Иэма,2021,3,10,165,,,
Верхоянский муниципальный район,,98616448101,р.Яна,Екючю,2021,3,10,120,,,
Верхоянский муниципальный район,поселок Батагай,98616151111,р.Яна,Усть-Чаркы,2021,3,10,165,,,
Верхоянский муниципальный район,город Верхоянск,98616103001,р.Яна,Верхоянск,2021,3,10,80,,,
Верхоянский муниципальный район,поселок Батагай,98616151051,р.Яна,Батагай,2021,3,10,120,,,
Эвено-Бытантайский национальный муниципальный район,Тюгясирский наслег,98659420101,р.Яна,Батагай-Алыта,2021,3,10,120,,,
Усть-Янский муниципальный район,Юбилейная,98656405101,р.Яна,Юбилейная,2021,3,10,165,,,
Оймяконский муниципальный район,Борогонский 2-й наслег,98639410106,р.Индигирка,Агаякан,2021,3,10,70,,,
Оймяконский муниципальный район,Оймякон Полюс Холода,98639405101,р.Индигирка,Оймякон,2021,3,10,70,,,
Оймяконский муниципальный район,поселок Артык,98639153106,р.Индигирка,Делянкир,2021,3,10,80,,,
Оймяконский муниципальный район,Юрты,98639432101,р.Индигирка,Юрты,2021,3,10,70,,,
Оймяконский муниципальный район,поселок Усть-Нера,98639151051,р.Индигирка,Усть-Нера,2021,3,10,70,,,
Момский муниципальный район,Момский национальный наслег,98633423101,р.Индигирка,Усть-Мома,2021,3,10,100,,,
Усть-Янский муниципальный район,поселок Депутатский,98656151051,р.Индигирка,Депутатский,2021,3,10,80,,,
Абыйский муниципальный район,поселок Белая Гора,98601151051,р.Индигирка,Белая Гора,2021,3,10,80,,,
Аллаиховский муниципальный район,поселок Чокурдах,98606151051,р.Индигирка,Чокурдах,2021,3,10,200,,,
Верхнеколымский муниципальный район,поселок Зырянка,98615151051,р.Колыма,Зырянка,2021,3,10,165,,,
Среднеколымский муниципальный район,город Среднеколымск,98646101001,р.Колыма,Среднеколымск,2021,3,10,165,,,
Нижнеколымский муниципальный район,поселок Черский,98637151051,р.Колыма,Черский,2021,3,10,165,,,
Ленский муниципальный район,поселок Витим,98627153051,р.Лена,Витим,2022,3,10,120,,,
Ленский муниципальный район,город Ленск,98627101001,р.Лена,Ленск,2022,3,10,100,,,
Ленский муниципальный район,Комака,98627433101,р.Лена,Комака,2022,3,10,100,,,
Ленский муниципальный район,,98627420106,р.Лена,Дорожный,2022,3,10,120,,,
Ленский муниципальный район,Нюйский наслег,98627430101,р.Лена,Нюя,2022,3,10,200,,,
Олекминский муниципальный район,Мачинский наслег,98641440101,р.Лена,Мача,2022,3,10,165,,,
Олекминский муниципальный район,,98641434106,р.Лена,Килеер,2022,3,10,120,,,
Олекминский муниципальный район,город Олекминск,98641101001,р.Лена,Олекминск,2022,3,10,80,,,
Олекминский муниципальный район,Тянский национальный наслег,98641475101,р.Лена,Тяня,2022,3,10,70,,,
Горный муниципальный район,Мытахский наслег,98620440101,р.Лена,Джикимда,2022,3,10,100,,,
Олекминский муниципальный район,Саныяхтахский наслег,98641460101,р.Лена,Саныяхтат,2022,3,10,80,,,
Хангаласский муниципальный район,Иситский наслег,98644412101,р.Лена,Исить,2022,3,10,70,,,
Горный муниципальный район,Малтанинский наслег,98620433106,р.Лена,Тонгулах,2022,3,10,100,,,
Хангаласский муниципальный район,город Покровск,98644101001,р.Лена,Покровск,2022,3,10,70,,,
Городской округ Город Якутск,город Якутск,98701000001,р.Лена,Якутск,2022,3,10,100,,,
Намский муниципальный район,Ленский наслег,98635425101,р.Лена,Намцы,2022,3,10,100,,,
Горный муниципальный район,Бердигестяхский наслег,98620410101,р.Лена,Бердигестях,2022,3,10,100,,,
Кобяйский муниципальный район,поселок Сангар,98624151051,р.Лена,Сангары,2022,3,10,120,,,
