Район,Наслег,ОКТМО,Бассейн рек,Населенный пункт,Год,Месяц,День,в % от нормы,Unnamed: 9,"Кол-во ошибок ""#н/д""",0
Нижнеколымский муниципальный район,поселок Черский,98637151051,Колыма,Черский,2012,11,20,<70,,,
Сунтарский муниципальный район,Сунтарский наслег,98648455101,Вилюй,Сунтар,2012,11,20,<70,,,
Нюрбинский муниципальный район,город Нюрба,98626101001,Вилюй,Нюрба,2012,11,20,<70,,,
Верхневилюйский муниципальный район,Верхневилюйский наслег,98614412101,Вилюй,В.Вилюйск,2012,11,20,<70,,,
Вилюйский муниципальный район,город Вилюйск,98618101001,Вилюй,Вилюйск,2012,11,20,<70,,,
Городской округ Город Якутск,город Якутск,98701000001,Лена,Якутск,2013,11,20,90-110,,,
Хангаласский муниципальный район,город Покровск,98644101001,Лена,Покровск,2013,11,20,90-110,,,
Намский муниципальный район,Ленский наслег,98635425101,Лена,Намцы,2013,11,20,90-110,,,
Олекминский муниципальный район,город Олекминск,98641101001,Лена,Олекминск,2013,11,20,<70,,,
Ленский муниципальный район,город Ленск,98627101001,Лена,Ленск,2013,11,20,90-110,,,
Ленский муниципальный район,поселок Витим,98627153051,Лена,Витим,2013,11,20,<70,,,
Кобяйский муниципальный район,поселок Сангар,98624151051,Лена,Сангар,2013,11,20,>130,,,
Жиганский национальный эвенкийский муниципальный район,Жиганский эвенкийский национальный наслег,98622410101,Лена,Жиганск,2013,11,20,>130,,,
Усть-Майский муниципальный район,поселок Усть-Мая,98654151051,Алдан,Усть-Мая,2013,11,20,<70,,,
Алданский муниципальный район,город Алдан,98603101001,Алдан,Алдан,2013,11,20,<70,,,
Амгинский муниципальный район,Амгинский наслег,98608432101,Амга,Амга,2013,11,20,<70,,,
Верхоянский муниципальный район,поселок Батагай,98616151051,Яна,Батагай,2013,11,20,<70,,,
Верхоянский муниципальный район,город Верхоянск,98616103001,Яна,Верхоянск,2013,11,20,90-110,,,
Усть-Янский муниципальный район,Казачинский национальный наслег,98656405101,Яна,Казачье,2013,11,20,<70,,,
Оймяконский муниципальный район,поселок Усть-Нера,98639151051,Индигирка,Усть-Нера,2013,11,20,>130,,,
Оймяконский муниципальный район,Оймякон Полюс Холода,98639405101,Индигирка,Оймякон,2013,11,20,>130,,,
Момский муниципальный район,Момский национальный наслег,98633423101,Индигирка,Хонуу,2013,11,20,70-90,,,
Абыйский муниципальный район,поселок Белая Гора,98601151051,Индигирка,Белая Гора,2013,11,20,70-90,,,
Аллаиховский муниципальный район,поселок Чокурдах,98606151051,Индигирка,Чокурдах,2013,11,20,70-90,,,
