№,Гидрометеорологический пост,Наименование реки,Район,Населенный пункт,ОКТМО,Дата (дд.мм.ггг),в % от нормы,в % от нормы.1
857,Нюрба,р.Вилюй,Нюрбинский муниципальный район,Нюрба,98626101001,2016-01-20,100,120.0
858,Верхневилюйск,р.Вилюй,Верхневилюйский муниципальный район,Верхневилюйск,98614412101,2016-01-20,100,165.0
859,Вилюйск,р.Вилюй,Вилюйский муниципальный район,Вилюйск,98618101001,2016-01-20,100,100.0
860,Эйк,р.Вилюй,Оленекский эвенкийский национальный муниципальный район,Эйик,98642450101,2016-01-20,80,120.0
861,Хатырык-Хомо,р.Вилюй,Кобяйский муниципальный район,Хатырык-Хомо,98624405111,2016-01-20,100,165.0
862,Джалинда,р.Анабар,Оленекский эвенкийский национальный муниципальный район,Оленек,98642437101,2016-01-20,80,120.0
863,Саскылах,р.Анабар,Анабарский национальный (долгано-эвенкийский) муниципальный район,Саскылах,98610411101,2016-01-20,70,165.0
864,Ярольин,р.Оленек,Оленекский эвенкийский национальный муниципальный район,Оленек,98642437101,2016-01-20,120,200.0
865,Оленек,р.Оленек,Оленекский эвенкийский национальный муниципальный район,Оленек,98642437101,2016-01-20,80,165.0
866,Сухана,р.Оленек,Оленекский эвенкийский национальный муниципальный район,Оленек,98642437101,2016-01-20,80,200.0
867,Тюмети,р.Оленек,Булунский муниципальный район,Склад,98612445106,2016-01-20,100,200.0
868,Таймылыр,р.Оленек,Булунский муниципальный район,Таймылыр,98612445101,2016-01-20,100,120.0
869,Иэма,р.Яна,Томпонский муниципальный район,Тополиное,98650435101,2016-01-20,80,80.0
870,Екючю,р.Яна,Верхоянский муниципальный район,Суордах,98616448101,2016-01-20,80,100.0
871,Усть-Чаркы,р.Яна,Верхоянский муниципальный район,Усть-Чаркы,98616151111,2016-01-20,70,120.0
872,Верхоянск,р.Яна,Верхоянский муниципальный район,Верхоянск,98616103001,2016-01-20,80,200.0
873,Батагай,р.Яна,Верхоянский муниципальный район,Батагай,98616151051,2016-01-20,100,165.0
874,Батагай-Алыта,р.Яна,Эвено-Бытантайский национальный муниципальный район,Батагай-Алыта,98659420101,2016-01-20,100,120.0
875,Юбилейная,р.Яна,Усть-Янский муниципальный район,Казачье,98656405101,2016-01-20,120,80.0
876,Агаякан,р.Индигирка,Оймяконский муниципальный район,Агаякан,98639410106,2016-01-20,100,80.0
877,Оймякон,р.Индигирка,Оймяконский муниципальный район,Оймякон,98639405101,2016-01-20,100,100.0
878,Делянкир,р.Индигирка,Оймяконский муниципальный район,Делянкир,98639153106,2016-01-20,100,80.0
879,Юрты,р.Индигирка,Оймяконский муниципальный район,Терют,98639432101,2016-01-20,165,70.0
880,Усть-Нера,р.Индигирка,Оймяконский муниципальный район,Усть-Нера,98639151051,2016-01-20,165,100.0
881,Усть-Мома,р.Индигирка,Момский муниципальный район,Хонуу,98633423101,2016-01-20,100,70.0
882,Депутатский,р.Индигирка,Усть-Янский муниципальный район,Депутатский,98656151051,2016-01-20,165,100.0
883,Белая Гора,р.Индигирка,Абыйский муниципальный район,Белая Гора,98601151051,2016-01-20,,100.0
884,Чокурдах,р.Индигирка,Аллаиховский муниципальный район,Чокурдах,98606151051,2016-01-20,,100.0
885,Зырянка,р.Колыма,Верхнеколымский муниципальный район,Зырянка,98615151051,2016-01-20,120,120.0
886,Среднеколымск,р.Колыма,Среднеколымский муниципальный район,Среднеколымск,98646101001,2016-01-20,100,165.0
887,Черский,р.Колыма,Нижнеколымский муниципальный район,Черский,98637151051,2016-01-20,,120.0
888,Витим,р.Лена,Ленский муниципальный район,Витим,98627153051,2015-01-20,165,165.0
889,Ленск,р.Лена,Ленский муниципальный район,Ленск,98627101001,2015-01-20,120,100.0
890,Комака,р.Лена,Ленский муниципальный район,Орто-Нахара,98627433101,2015-01-20,120,70.0
891,Дорожный,р.Лена,Ленский муниципальный район,Дорожный,98627420106,2015-01-20,100,80.0
892,Нюя,р.Лена,Ленский муниципальный район,Нюя,98627430101,2015-01-20,120,80.0
893,Мача,р.Лена,Олекминский муниципальный район,Мача,98641440101,2015-01-20,100,120.0
894,Килеер,р.Лена,Олекминский муниципальный район,Килиер,98641434106,2015-01-20,80,100.0
895,Олекминск,р.Лена,Олекминский муниципальный район,Олёкминск,98641101001,2015-01-20,80,120.0
896,Тяня,р.Лена,Олекминский муниципальный район,Тяня,98641475101,2015-01-20,100,100.0
897,Джикимда,р.Лена,Горный муниципальный район,Дикимдя,98620440101,2015-01-20,100,80.0
898,Саныяхтат,р.Лена,Олекминский муниципальный район,Саныяхтах,98641460101,2015-01-20,120,70.0
899,Исить,р.Лена,Хангаласский муниципальный район,Исит,98644412101,2015-01-20,120,70.0
900,Тонгулах,р.Лена,Горный муниципальный район,Тонгулах,98620433106,2015-01-20,120,70.0
901,Покровск,р.Лена,Хангаласский муниципальный район,Покровск,98644101001,2015-01-20,80,70.0
902,Якутск,р.Лена,Городской округ Город Якутск,Якутск,98701000001,2015-01-20,80,80.0
903,Намцы,р.Лена,Намский муниципальный район,Намцы,98635425101,2015-01-20,100,70.0
904,Бердигестях,р.Лена,Горный муниципальный район,Бердигестях,98620410101,2015-01-20,100,120.0
905,Сангары,р.Лена,Кобяйский муниципальный район,Сангар,98624151051,2015-01-20,80,100.0
906,Жиганск,р.Лена,Жиганский национальный эвенкийский муниципальный район,Жиганск,98622410101,2015-01-20,100,120.0
907,Бестяхская з/ф,р.Лена,Жиганский национальный эвенкийский муниципальный район,Бестях,98622405101,2015-01-20,100,165.0
908,Джарджан,р.Лена,Жиганский национальный эвенкийский муниципальный район,Жиганск,98622410101,2015-01-20,70,165.0
909,Кюсюр,р.Лена,Булунский муниципальный район,Кюсюр,98612412101,2015-01-20,100,100.0
910,Буяга,р.Амга,Алданский муниципальный район,Верхняя Амга,98603105111,2015-01-20,100,120.0
911,Тегюльтя,р.Амга,Амгинский муниципальный район,Тегюльтя,98608429111,2015-01-20,100,165.0
912,Амга,р.Амга,Амгинский муниципальный район,Амга,98608432101,2015-01-20,165,120.0
913,Нагорный,р.Алдан,Алданский муниципальный район,Ыллымах,98603105106,2015-01-20,100,120.0
914,Чульман,р.Алдан,Нерюнгринский муниципальный район,Чульман,98660165051,2015-01-20,165,80.0
915,Канку,р.Алдан,Алданский муниципальный район,Большой Нимныр,98603101111,2015-01-20,120,100.0
916,Суон-Тит,р.Алдан,Момский муниципальный район,Суон-Тит,98633423106,2015-01-20,100,80.0
917,Томмот,р.Алдан,Алданский муниципальный район,Томмот,98603105001,2015-01-20,120,80.0
918,Угино,р.Алдан,Алданский муниципальный район,Томмот,98603105001,2015-01-20,120,100.0
919,Токо,р.Алдан,Олекминский муниципальный район,Токко,98641420101,2015-01-20,100,100.0
920,Чюльбю,р.Алдан,Алданский муниципальный район,Чагда,98603460101,2015-01-20,100,120.0
921,Учур,р.Алдан,Алданский муниципальный район,Чагда,98603460101,2015-01-20,100,100.0
922,Усть-Миль,р.Алдан,Усть-Майский муниципальный район,Усть-Миль,98654415101,2015-01-20,100,165.0
923,Усть-Юдома,р.Алдан,Усть-Майский муниципальный район,Усть-Юдома,98654151106,2015-01-20,165,100.0
924,Югоренок,р.Алдан,Усть-Майский муниципальный район,Югоренок,98654166051,2015-01-20,80,165.0
925,Усть-Мая,р.Алдан,Усть-Майский муниципальный район,Усть-Мая,98654151051,2015-01-20,120,80.0
926,Охотский Перевоз,р.Алдан,Томпонский муниципальный район,Охотский-Перевоз,98650425101,2015-01-20,100,80.0
927,Теплый Ключ,р.Алдан,Томпонский муниципальный район,Теплый Ключ,98650433101,2015-01-20,100,100.0
928,Крест-Хальджай,р.Алдан,Томпонский муниципальный район,Крест-Хальджай,98650405101,2015-01-20,120,120.0
929,Томпо,р.Алдан,Томпонский муниципальный район,Тополиное,98650435101,2015-01-20,80,80.0
930,Чурапча,р.Алдан,Чурапчинский муниципальный район,Чурапча,98658470101,2015-01-20,100,70.0
931,Верхоянский Перевоз,р.Алдан,Усть-Алданский муниципальный район,Кылайы,98652475101,2015-01-20,100,100.0
932,Батамай,р.Алдан,Кобяйский муниципальный район,Батамай,98624414106,2015-01-20,100,120.0
933,Сегян-Кюель,р.Алдан,Кобяйский муниципальный район,Сегян-Кюёль,98624414101,2015-01-20,80,165.0
934,Лавинда,р.Вилюй,Мирнинский муниципальный район,Чернышевский,98631162051,2015-01-20,165,165.0
935,Чона,р.Вилюй,Мирнинский муниципальный район,Чернышевский,98631162051,2015-01-20,100,120.0
936,Туой-Хая,р.Вилюй,Мирнинский муниципальный район,Чернышевский,98631162051,2015-01-20,100,120.0
937,Чернышевский,р.Вилюй,Мирнинский муниципальный район,Чернышевский,98631162051,2015-01-20,120,100.0
938,Хабардино,р.Вилюй,Оленекский эвенкийский национальный муниципальный район,Оленек,98642437101,2015-01-20,120,120.0
939,Айхал,р.Вилюй,Мирнинский муниципальный район,Айхал,98631152051,2015-01-20,165,80.0
940,Шелагонцы,р.Вилюй,Оленекский эвенкийский национальный муниципальный район,Эйик,98642450101,2015-01-20,120,120.0
941,Чумпурук,р.Вилюй,Нюрбинский муниципальный район,Малыкай,98626410101,2015-01-20,165,100.0
942,Крестях,р.Вилюй,Сунтарский муниципальный район,Крестях,98648430101,2015-01-20,165,80.0
943,Сунтар,р.Вилюй,Сунтарский муниципальный район,Сунтар,98648455101,2015-01-20,165,100.0
944,Нюрба,р.Вилюй,Нюрбинский муниципальный район,Нюрба,98626101001,2015-01-20,100,80.0
945,Верхневилюйск,р.Вилюй,Верхневилюйский муниципальный район,Верхневилюйск,98614412101,2015-01-20,120,120.0
946,Вилюйск,р.Вилюй,Вилюйский муниципальный район,Вилюйск,98618101001,2015-01-20,165,100.0
947,Эйк,р.Вилюй,Оленекский эвенкийский национальный муниципальный район,Эйик,98642450101,2015-01-20,100,100.0
948,Хатырык-Хомо,р.Вилюй,Кобяйский муниципальный район,Хатырык-Хомо,98624405111,2015-01-20,100,70.0
949,Джалинда,р.Анабар,Оленекский эвенкийский национальный муниципальный район,Оленек,98642437101,2015-01-20,80,120.0
950,Саскылах,р.Анабар,Анабарский национальный (долгано-эвенкийский) муниципальный район,Саскылах,98610411101,2015-01-20,80,70.0
951,Ярольин,р.Оленек,Оленекский эвенкийский национальный муниципальный район,Оленек,98642437101,2015-01-20,120,80.0
952,Оленек,р.Оленек,Оленекский эвенкийский национальный муниципальный район,Оленек,98642437101,2015-01-20,120,80.0
953,Сухана,р.Оленек,Оленекский эвенкийский национальный муниципальный район,Оленек,98642437101,2015-01-20,100,80.0
954,Тюмети,р.Оленек,Булунский муниципальный район,Склад,98612445106,2015-01-20,80,80.0
955,Таймылыр,р.Оленек,Булунский муниципальный район,Таймылыр,98612445101,2015-01-20,,120.0
956,Иэма,р.Яна,Томпонский муниципальный район,Тополиное,98650435101,2015-01-20,80,80.0
957,Екючю,р.Яна,Верхоянский муниципальный район,Суордах,98616448101,2015-01-20,100,100.0
958,Усть-Чаркы,р.Яна,Верхоянский муниципальный район,Усть-Чаркы,98616151111,2015-01-20,80,165.0
959,Верхоянск,р.Яна,Верхоянский муниципальный район,Верхоянск,98616103001,2015-01-20,70,165.0
960,Батагай,р.Яна,Верхоянский муниципальный район,Батагай,98616151051,2015-01-20,80,120.0
961,Батагай-Алыта,р.Яна,Эвено-Бытантайский национальный муниципальный район,Батагай-Алыта,98659420101,2015-01-20,165,165.0
962,Юбилейная,р.Яна,Усть-Янский муниципальный район,Казачье,98656405101,2015-01-20,120,120.0
963,Агаякан,р.Индигирка,Оймяконский муниципальный район,Агаякан,98639410106,2015-01-20,165,120.0
964,Оймякон,р.Индигирка,Оймяконский муниципальный район,Оймякон,98639405101,2015-01-20,165,100.0
965,Делянкир,р.Индигирка,Оймяконский муниципальный район,Делянкир,98639153106,2015-01-20,165,100.0
966,Юрты,р.Индигирка,Оймяконский муниципальный район,Терют,98639432101,2015-01-20,165,100.0
967,Усть-Нера,р.Индигирка,Оймяконский муниципальный район,Усть-Нера,98639151051,2015-01-20,165,100.0
968,Усть-Мома,р.Индигирка,Момский муниципальный район,Хонуу,98633423101,2015-01-20,100,80.0
969,Депутатский,р.Индигирка,Усть-Янский муниципальный район,Депутатский,98656151051,2015-01-20,165,120.0
970,Белая Гора,р.Индигирка,Абыйский муниципальный район,Белая Гора,98601151051,2015-01-20,120,80.0
971,Чокурдах,р.Индигирка,Аллаиховский муниципальный район,Чокурдах,98606151051,2015-01-20,,100.0
972,Зырянка,р.Колыма,Верхнеколымский муниципальный район,Зырянка,98615151051,2015-01-20,165,100.0
973,Среднеколымск,р.Колыма,Среднеколымский муниципальный район,Среднеколымск,98646101001,2015-01-20,165,100.0
974,Черский,р.Колыма,Нижнеколымский муниципальный район,Черский,98637151051,2015-01-20,,80.0
975,Витим,р.Лена,Ленский муниципальный район,Витим,98627153051,2014-01-20,100,100.0
976,Ленск,р.Лена,Ленский муниципальный район,Ленск,98627101001,2014-01-20,120,100.0
977,Комака,р.Лена,Ленский муниципальный район,Орто-Нахара,98627433101,2014-01-20,100,100.0
978,Дорожный,р.Лена,Ленский муниципальный район,Дорожный,98627420106,2014-01-20,165,100.0
979,Нюя,р.Лена,Ленский муниципальный район,Нюя,98627430101,2014-01-20,120,100.0
980,Мача,р.Лена,Олекминский муниципальный район,Мача,98641440101,2014-01-20,120,70.0
981,Килеер,р.Лена,Олекминский муниципальный район,Килиер,98641434106,2014-01-20,165,100.0
982,Олекминск,р.Лена,Олекминский муниципальный район,Олёкминск,98641101001,2014-01-20,70,100.0
983,Тяня,р.Лена,Олекминский муниципальный район,Тяня,98641475101,2014-01-20,70,80.0
984,Джикимда,р.Лена,Горный муниципальный район,Дикимдя,98620440101,2014-01-20,80,100.0
985,Саныяхтат,р.Лена,Олекминский муниципальный район,Саныяхтах,98641460101,2014-01-20,70,100.0
986,Исить,р.Лена,Хангаласский муниципальный район,Исит,98644412101,2014-01-20,70,80.0
987,Тонгулах,р.Лена,Горный муниципальный район,Тонгулах,98620433106,2014-01-20,120,80.0
988,Покровск,р.Лена,Хангаласский муниципальный район,Покровск,98644101001,2014-01-20,80,80.0
989,Якутск,р.Лена,Городской округ Город Якутск,Якутск,98701000001,2014-01-20,120,120.0
990,Намцы,р.Лена,Намский муниципальный район,Намцы,98635425101,2014-01-20,120,120.0
991,Бердигестях,р.Лена,Горный муниципальный район,Бердигестях,98620410101,2014-01-20,120,100.0
992,Сангары,р.Лена,Кобяйский муниципальный район,Сангар,98624151051,2014-01-20,120,100.0
993,Жиганск,р.Лена,Жиганский национальный эвенкийский муниципальный район,Жиганск,98622410101,2014-01-20,165,80.0
994,Бестяхская з/ф,р.Лена,Жиганский национальный эвенкийский муниципальный район,Бестях,98622405101,2014-01-20,165,70.0
995,Джарджан,р.Лена,Жиганский национальный эвенкийский муниципальный район,Жиганск,98622410101,2014-01-20,165,80.0
996,Кюсюр,р.Лена,Булунский муниципальный район,Кюсюр,98612412101,2014-01-20,120,100.0
997,Буяга,р.Амга,Алданский муниципальный район,Верхняя Амга,98603105111,2014-01-20,70,80.0
998,Тегюльтя,р.Амга,Амгинский муниципальный район,Тегюльтя,98608429111,2014-01-20,80,120.0
999,Амга,р.Амга,Амгинский муниципальный район,Амга,98608432101,2014-01-20,70,80.0
1000,Нагорный,р.Алдан,Алданский муниципальный район,Ыллымах,98603105106,2014-01-20,100,70.0
1001,Чульман,р.Алдан,Нерюнгринский муниципальный район,Чульман,98660165051,2014-01-20,165,100.0
1002,Канку,р.Алдан,Алданский муниципальный район,Большой Нимныр,98603101111,2014-01-20,165,100.0
1003,Суон-Тит,р.Алдан,Момский муниципальный район,Суон-Тит,98633423106,2014-01-20,120,120.0
1004,Томмот,р.Алдан,Алданский муниципальный район,Томмот,98603105001,2014-01-20,70,100.0
1005,Угино,р.Алдан,Алданский муниципальный район,Томмот,98603105001,2014-01-20,70,80.0
1006,Токо,р.Алдан,Олекминский муниципальный район,Токко,98641420101,2014-01-20,165,100.0
1007,Чюльбю,р.Алдан,Алданский муниципальный район,Чагда,98603460101,2014-01-20,80,100.0
1008,Учур,р.Алдан,Алданский муниципальный район,Чагда,98603460101,2014-01-20,70,100.0
1009,Усть-Миль,р.Алдан,Усть-Майский муниципальный район,Усть-Миль,98654415101,2014-01-20,80,100.0
1010,Усть-Юдома,р.Алдан,Усть-Майский муниципальный район,Усть-Юдома,98654151106,2014-01-20,80,165.0
1011,Югоренок,р.Алдан,Усть-Майский муниципальный район,Югоренок,98654166051,2014-01-20,80,120.0
1012,Усть-Мая,р.Алдан,Усть-Майский муниципальный район,Усть-Мая,98654151051,2014-01-20,70,100.0
1013,Охотский Перевоз,р.Алдан,Томпонский муниципальный район,Охотский-Перевоз,98650425101,2014-01-20,80,100.0
1014,Теплый Ключ,р.Алдан,Томпонский муниципальный район,Теплый Ключ,98650433101,2014-01-20,120,165.0
1015,Крест-Хальджай,р.Алдан,Томпонский муниципальный район,Крест-Хальджай,98650405101,2014-01-20,120,100.0
1016,Томпо,р.Алдан,Томпонский муниципальный район,Тополиное,98650435101,2014-01-20,80,100.0
1017,Чурапча,р.Алдан,Чурапчинский муниципальный район,Чурапча,98658470101,2014-01-20,80,100.0
1018,Верхоянский Перевоз,р.Алдан,Усть-Алданский муниципальный район,Кылайы,98652475101,2014-01-20,165,100.0
1019,Батамай,р.Алдан,Кобяйский муниципальный район,Батамай,98624414106,2014-01-20,120,100.0
1020,Сегян-Кюель,р.Алдан,Кобяйский муниципальный район,Сегян-Кюёль,98624414101,2014-01-20,120,120.0
1021,Лавинда,р.Вилюй,Мирнинский муниципальный район,Чернышевский,98631162051,2014-01-20,165,80.0
1022,Чона,р.Вилюй,Мирнинский муниципальный район,Чернышевский,98631162051,2014-01-20,165,165.0
1023,Туой-Хая,р.Вилюй,Мирнинский муниципальный район,Чернышевский,98631162051,2014-01-20,165,165.0
1024,Чернышевский,р.Вилюй,Мирнинский муниципальный район,Чернышевский,98631162051,2014-01-20,165,165.0
1025,Хабардино,р.Вилюй,Оленекский эвенкийский национальный муниципальный район,Оленек,98642437101,2014-01-20,120,165.0
1026,Айхал,р.Вилюй,Мирнинский муниципальный район,Айхал,98631152051,2014-01-20,120,200.0
1027,Шелагонцы,р.Вилюй,Оленекский эвенкийский национальный муниципальный район,Эйик,98642450101,2014-01-20,120,165.0
1028,Чумпурук,р.Вилюй,Нюрбинский муниципальный район,Малыкай,98626410101,2014-01-20,165,165.0
1029,Крестях,р.Вилюй,Сунтарский муниципальный район,Крестях,98648430101,2014-01-20,100,100.0
1030,Сунтар,р.Вилюй,Сунтарский муниципальный район,Сунтар,98648455101,2014-01-20,165,100.0
1031,Нюрба,р.Вилюй,Нюрбинский муниципальный район,Нюрба,98626101001,2014-01-20,80,165.0
1032,Верхневилюйск,р.Вилюй,Верхневилюйский муниципальный район,Верхневилюйск,98614412101,2014-01-20,100,165.0
1033,Вилюйск,р.Вилюй,Вилюйский муниципальный район,Вилюйск,98618101001,2014-01-20,100,80.0
1034,Эйк,р.Вилюй,Оленекский эвенкийский национальный муниципальный район,Эйик,98642450101,2014-01-20,165,165.0
1035,Хатырык-Хомо,р.Вилюй,Кобяйский муниципальный район,Хатырык-Хомо,98624405111,2014-01-20,165,165.0
1036,Джалинда,р.Анабар,Оленекский эвенкийский национальный муниципальный район,Оленек,98642437101,2014-01-20,80,200.0
1037,Саскылах,р.Анабар,Анабарский национальный (долгано-эвенкийский) муниципальный район,Саскылах,98610411101,2014-01-20,70,200.0
1038,Ярольин,р.Оленек,Оленекский эвенкийский национальный муниципальный район,Оленек,98642437101,2014-01-20,80,200.0
1039,Оленек,р.Оленек,Оленекский эвенкийский национальный муниципальный район,Оленек,98642437101,2014-01-20,100,200.0
1040,Сухана,р.Оленек,Оленекский эвенкийский национальный муниципальный район,Оленек,98642437101,2014-01-20,165,200.0
1041,Тюмети,р.Оленек,Булунский муниципальный район,Склад,98612445106,2014-01-20,165,165.0
1042,Таймылыр,р.Оленек,Булунский муниципальный район,Таймылыр,98612445101,2014-01-20,165,120.0
1043,Иэма,р.Яна,Томпонский муниципальный район,Тополиное,98650435101,2014-01-20,80,165.0
1044,Екючю,р.Яна,Верхоянский муниципальный район,Суордах,98616448101,2014-01-20,70,165.0
1045,Усть-Чаркы,р.Яна,Верхоянский муниципальный район,Усть-Чаркы,98616151111,2014-01-20,100,200.0
1046,Верхоянск,р.Яна,Верхоянский муниципальный район,Верхоянск,98616103001,2014-01-20,80,165.0
1047,Батагай,р.Яна,Верхоянский муниципальный район,Батагай,98616151051,2014-01-20,80,165.0
1048,Батагай-Алыта,р.Яна,Эвено-Бытантайский национальный муниципальный район,Батагай-Алыта,98659420101,2014-01-20,70,120.0
1049,Юбилейная,р.Яна,Усть-Янский муниципальный район,Казачье,98656405101,2014-01-20,70,165.0
1050,Агаякан,р.Индигирка,Оймяконский муниципальный район,Агаякан,98639410106,2014-01-20,120,165.0
1051,Оймякон,р.Индигирка,Оймяконский муниципальный район,Оймякон,98639405101,2014-01-20,120,120.0
1052,Делянкир,р.Индигирка,Оймяконский муниципальный район,Делянкир,98639153106,2014-01-20,120,120.0
1053,Юрты,р.Индигирка,Оймяконский муниципальный район,Терют,98639432101,2014-01-20,80,120.0
1054,Усть-Нера,р.Индигирка,Оймяконский муниципальный район,Усть-Нера,98639151051,2014-01-20,80,70.0
1055,Усть-Мома,р.Индигирка,Момский муниципальный район,Хонуу,98633423101,2014-01-20,70,100.0
1056,Депутатский,р.Индигирка,Усть-Янский муниципальный район,Депутатский,98656151051,2014-01-20,70,70.0
1057,Белая Гора,р.Индигирка,Абыйский муниципальный район,Белая Гора,98601151051,2014-01-20,100,100.0
1058,Чокурдах,р.Индигирка,Аллаиховский муниципальный район,Чокурдах,98606151051,2014-01-20,100,80.0
1059,Зырянка,р.Колыма,Верхнеколымский муниципальный район,Зырянка,98615151051,2014-01-20,120,100.0
1060,Среднеколымск,р.Колыма,Среднеколымский муниципальный район,Среднеколымск,98646101001,2014-01-20,120,80.0
1061,Черский,р.Колыма,Нижнеколымский муниципальный район,Черский,98637151051,2014-01-20,120,80.0
1062,Витим,р.Лена,Ленский муниципальный район,Витим,98627153051,2018-01-31,130-200,80.0
1063,Ленск,р.Лена,Ленский муниципальный район,Ленск,98627101001,2018-01-31,110-130,100.0
1064,Комака,р.Лена,Ленский муниципальный район,Орто-Нахара,98627433101,2018-01-31,130-200,120.0
1065,Дорожный,р.Лена,Ленский муниципальный район,Дорожный,98627420106,2018-01-31,130-200,100.0
1066,Нюя,р.Лена,Ленский муниципальный район,Нюя,98627430101,2018-01-31,>200,70.0
1067,Мача,р.Лена,Олекминский муниципальный район,Мача,98641440101,2018-01-31,130-200,120.0
1068,Килеер,р.Лена,Олекминский муниципальный район,Килиер,98641434106,2018-01-31,130-200,165.0
1069,Олекминск,р.Лена,Олекминский муниципальный район,Олёкминск,98641101001,2018-01-31,110-130,165.0
1070,Тяня,р.Лена,Олекминский муниципальный район,Тяня,98641475101,2018-01-31,130-200,165.0
1071,Джикимда,р.Лена,Горный муниципальный район,Дикимдя,98620440101,2018-01-31,110-130,100.0
1072,Саныяхтат,р.Лена,Олекминский муниципальный район,Саныяхтах,98641460101,2018-01-31,130-200,100.0
1073,Исить,р.Лена,Хангаласский муниципальный район,Исит,98644412101,2018-01-31,130-200,80.0
1074,Тонгулах,р.Лена,Горный муниципальный район,Тонгулах,98620433106,2018-01-31,130-200,100.0
1075,Покровск,р.Лена,Хангаласский муниципальный район,Покровск,98644101001,2018-01-31,70-90,80.0
1076,Якутск,р.Лена,Городской округ Город Якутск,Якутск,98701000001,2018-01-31,90-110,80.0
1077,Намцы,р.Лена,Намский муниципальный район,Намцы,98635425101,2018-01-31,<70,80.0
1078,Бердигестях,р.Лена,Горный муниципальный район,Бердигестях,98620410101,2018-01-31,70-90,80.0
1079,Сангары,р.Лена,Кобяйский муниципальный район,Сангар,98624151051,2018-01-31,70-90,80.0
1080,Жиганск,р.Лена,Жиганский национальный эвенкийский муниципальный район,Жиганск,98622410101,2018-01-31,70-90,70.0
1081,Бестяхская з/ф,р.Лена,Жиганский национальный эвенкийский муниципальный район,Бестях,98622405101,2018-01-31,70-90,80.0
1082,Джарджан,р.Лена,Жиганский национальный эвенкийский муниципальный район,Жиганск,98622410101,2018-01-31,70-90,70.0
1083,Кюсюр,р.Лена,Булунский муниципальный район,Кюсюр,98612412101,2018-01-31,90-110,80.0
1084,Буяга,р.Амга,Алданский муниципальный район,Верхняя Амга,98603105111,2018-01-31,90-110,165.0
1085,Тегюльтя,р.Амга,Амгинский муниципальный район,Тегюльтя,98608429111,2018-01-31,110-130,80.0
1086,Амга,р.Амга,Амгинский муниципальный район,Амга,98608432101,2018-01-31,70-90,70.0
1087,Нагорный,р.Алдан,Алданский муниципальный район,Ыллымах,98603105106,2018-01-31,<70,120.0
1088,Чульман,р.Алдан,Нерюнгринский муниципальный район,Чульман,98660165051,2018-01-31,70-90,100.0
1089,Канку,р.Алдан,Алданский муниципальный район,Большой Нимныр,98603101111,2018-01-31,110-130,120.0
1090,Суон-Тит,р.Алдан,Момский муниципальный район,Суон-Тит,98633423106,2018-01-31,130-200,120.0
1091,Томмот,р.Алдан,Алданский муниципальный район,Томмот,98603105001,2018-01-31,130-200,120.0
1092,Угино,р.Алдан,Алданский муниципальный район,Томмот,98603105001,2018-01-31,90-110,120.0
1093,Токо,р.Алдан,Олекминский муниципальный район,Токко,98641420101,2018-01-31,90-110,120.0
1094,Чюльбю,р.Алдан,Алданский муниципальный район,Чагда,98603460101,2018-01-31,70-90,165.0
1095,Учур,р.Алдан,Алданский муниципальный район,Чагда,98603460101,2018-01-31,90-110,165.0
1096,Усть-Миль,р.Алдан,Усть-Майский муниципальный район,Усть-Миль,98654415101,2018-01-31,70-90,165.0
1097,Усть-Юдома,р.Алдан,Усть-Майский муниципальный район,Усть-Юдома,98654151106,2018-01-31,<70,165.0
1098,Югаренок,р.Алдан,Усть-Майский муниципальный район,Югоренок,98654166051,2018-01-31,70-90,120.0
1099,Усть-Мая,р.Алдан,Усть-Майский муниципальный район,Усть-Мая,98654151051,2018-01-31,70-90,120.0
1100,Охотский Перевоз,р.Алдан,Томпонский муниципальный район,Охотский-Перевоз,98650425101,2018-01-31,<70,165.0
1101,Теплый Ключ,р.Алдан,Томпонский муниципальный район,Теплый Ключ,98650433101,2018-01-31,<70,100.0
1102,Крест-Хальджай,р.Алдан,Томпонский муниципальный район,Крест-Хальджай,98650405101,2018-01-31,70-90,80.0
1103,Томпо,р.Алдан,Томпонский муниципальный район,Тополиное,98650435101,2018-01-31,<70,80.0
1104,Чурапча,р.Алдан,Чурапчинский муниципальный район,Чурапча,98658470101,2018-01-31,70-90,165.0
1105,Верхоянский Перевоз,р.Алдан,Усть-Алданский муниципальный район,Кылайы,98652475101,2018-01-31,110-130,100.0
1106,Батамай,р.Алдан,Кобяйский муниципальный район,Батамай,98624414106,2018-01-31,90-110,120.0
1107,Сегян-Кюель,р.Алдан,Кобяйский муниципальный район,Сегян-Кюёль,98624414101,2018-01-31,70-90,100.0
1108,Лавинда,р.Вилюй,Мирнинский муниципальный район,Чернышевский,98631162051,2018-01-31,130-200,100.0
1109,Чона,р.Вилюй,Мирнинский муниципальный район,Чернышевский,98631162051,2018-01-31,90-110,100.0
1110,Туой-Хая,р.Вилюй,Мирнинский муниципальный район,Чернышевский,98631162051,2018-01-31,110-130,165.0
1111,Чернышевский,р.Вилюй,Мирнинский муниципальный район,Чернышевский,98631162051,2018-01-31,110-130,165.0
1112,Хабардино,р.Вилюй,Оленекский эвенкийский национальный муниципальный район,Оленек,98642437101,2018-01-31,110-130,120.0
1113,Айхал,р.Вилюй,Мирнинский муниципальный район,Айхал,98631152051,2018-01-31,110-130,120.0
