oktmo,region,municipality,settlement,type,Геоточка,latitude_dms,longitude_dms,latitude_dd,longitude_dd
98622422101,Республика Саха (Якутия),Жиганский национальный эвенкийский,Баханай,с,"[66.0166666666667,123.654722222222]",66.01.00,123.39.17,66.0166666666667,123.654722222222
98622405101,Республика Саха (Якутия),Жиганский национальный эвенкийский,Бестях,с,"[65.2838888888889,124.128055555556]",65.17.02,124.07.41,65.2838888888889,124.128055555556
98622710,Республика Саха (Якутия),Жиганский национальный эвенкийский,Джарджан,с,"[68.7319444444445,124.019722222222]",68.43.55,124.01.11,68.7319444444445,124.019722222222
98622410101,Республика Саха (Якутия),Жиганский национальный эвенкийский,Жиганск,с,"[66.7675,123.374166666667]",66.46.03,123.22.27,66.7675,123.374166666667
98622417101,Республика Саха (Якутия),Жиганский национальный эвенкийский,Кыстатыам,с,"[67.3213888888889,123.344166666667]",67.19.17,123.20.39,67.3213888888889,123.344166666667
98624151106,Республика Саха (Якутия),Кобяйский,Авиапорт,с,"[63.9563888888889,127.443611111111]",63.57.23,127.26.37,63.9563888888889,127.443611111111
98624424101,Республика Саха (Якутия),Кобяйский,Аргас,с,"[63.9633333333333,126.621944444444]",63.57.48,126.37.19,63.9633333333333,126.621944444444
98624405101,Республика Саха (Якутия),Кобяйский,Арыктах,с,"[63.5677777777778,125.236666666667]",63.34.04,125.14.12,63.5677777777778,125.236666666667
98624434106,Республика Саха (Якутия),Кобяйский,Арылах,с,"[63.7627777777778,123.962222222222]",63.45.46,123.57.44,63.7627777777778,123.962222222222
98624434101,Республика Саха (Якутия),Кобяйский,Багадя,с,"[63.7133333333333,123.775555555556]",63.42.48,123.46.32,63.7133333333333,123.775555555556
98624414106,Республика Саха (Якутия),Кобяйский,Батамай,с,"[63.5247222222222,129.418611111111]",63.31.29,129.25.07,63.5247222222222,129.418611111111
98624435106,Республика Саха (Якутия),Кобяйский,Быранатталах,с,"[63.6808333333333,124.4025]",63.40.51,124.24.09,63.6808333333333,124.4025
98624424106,Республика Саха (Якутия),Кобяйский,Кальвица,с,"[63.9388888888889,127.025]",63.56.20,127.01.30,63.9388888888889,127.025
98624419101,Республика Саха (Якутия),Кобяйский,Кобяй,с,"[63.5761111111111,126.495833333333]",63.34.34,126.29.45,63.5761111111111,126.495833333333
98624405106,Республика Саха (Якутия),Кобяйский,Люксюгюн,с,"[63.7183333333333,124.975]",63.43.06,124.58.30,63.7183333333333,124.975
98624435101,Республика Саха (Якутия),Кобяйский,Мастах,с,"[63.7219444444444,124.191666666667]",63.43.19,124.11.30,63.7219444444444,124.191666666667
98624435111,Республика Саха (Якутия),Кобяйский,Мастах 2-й,с,"[63.7433333333333,124.221666666667]",63.44.36,124.13.18,63.7433333333333,124.221666666667
98624419106,Республика Саха (Якутия),Кобяйский,Ойун-Унгуохтах,с,"[63.8336111111111,126.556111111111]",63.50.01,126.33.22,63.8336111111111,126.556111111111
98624419111,Республика Саха (Якутия),Кобяйский,Сага,с,"[63.7336111111111,126.445]",63.44.01,126.26.42,63.7336111111111,126.445
98624440101,Республика Саха (Якутия),Кобяйский,Сайылык,с,"[63.8563888888889,123.843888888889]",63.51.23,123.50.38,63.8563888888889,123.843888888889
98624151051,Республика Саха (Якутия),Кобяйский,Сангар,пгт,"[63.9194444444444,127.485833333333]",63.55.10,127.29.09,63.9194444444444,127.485833333333
98624429101,Республика Саха (Якутия),Кобяйский,Себян-Кюель,с,"[65.2886111111111,130.008055555556]",65.17.19,130.00.29,65.2886111111111,130.008055555556
98624414101,Республика Саха (Якутия),Кобяйский,Сегян-Кюель,с,"[64.0030555555556,130.309444444444]",64.00.11,130.18.34,64.0030555555556,130.309444444444
98624450101,Республика Саха (Якутия),Кобяйский,Ситте,с,"[63.4883333333333,128.035277777778]",63.29.18,128.02.07,63.4883333333333,128.035277777778
98624151111,Республика Саха (Якутия),Кобяйский,Смородичный,с,"[63.89,127.52]",63.53.24,127.31.12,63.89,127.52
98624455101,Республика Саха (Якутия),Кобяйский,Тыайа,с,"[63.6894444444444,125.964722222222]",63.41.22,125.57.53,63.6894444444444,125.964722222222
98624405111,Республика Саха (Якутия),Кобяйский,Хатырык-Хомо,с,"[63.9516666666667,124.826666666667]",63.57.06,124.49.36,63.9516666666667,124.826666666667
98624445101,Республика Саха (Якутия),Кобяйский,Чагда,с,"[63.3777777777778,125.513333333333]",63.22.40,125.30.48,63.3777777777778,125.513333333333
98627440106,Республика Саха (Якутия),Ленский,Алысардах,с,"[59.5077777777778,111.971388888889]",59.30.28,111.58.17,59.5077777777778,111.971388888889
98627436106,Республика Саха (Якутия),Ленский,Батамай,с,"[60.7533333333333,115.3225]",60.45.12,115.19.21,60.7533333333333,115.3225
98627405101,Республика Саха (Якутия),Ленский,Беченча,с,"[60.9613888888889,115.470555555556]",60.57.41,115.28.14,60.9613888888889,115.470555555556
98627153051,Республика Саха (Якутия),Ленский,Витим,п,"[59.4380555555556,112.560277777778]",59.26.17,112.33.37,59.4380555555556,112.560277777778
98627420106,Республика Саха (Якутия),Ленский,Дорожный,с,"[61.4458333333333,114.358888888889]",61.26.45,114.21.32,61.4458333333333,114.358888888889
98627440111,Республика Саха (Якутия),Ленский,Иннялы,с,"[59.5172222222222,111.211111111111]",59.31.02,111.12.40,59.5172222222222,111.211111111111
98627157106,Республика Саха (Якутия),Ленский,Крестовский Лесоучасток,с,"[59.7758333333333,113.281388888889]",59.46.33,113.16.53,59.7758333333333,113.281388888889
98627101001,Республика Саха (Якутия),Ленский,Ленск,г,"[60.7244444444444,114.928333333333]",60.43.28,114.55.42,60.7244444444444,114.928333333333
98627436101,Республика Саха (Якутия),Ленский,Мурья,с,"[60.7333333333333,115.290833333333]",60.44.00,115.17.27,60.7333333333333,115.290833333333
98627428101,Республика Саха (Якутия),Ленский,Натора,с,"[60.5375,116.103333333333]",60.32.15,116.06.12,60.5375,116.103333333333
98627430101,Республика Саха (Якутия),Ленский,Нюя,с,"[60.5355555555556,116.220555555556]",60.32.08,116.13.14,60.5355555555556,116.220555555556
98627420101,Республика Саха (Якутия),Ленский,Нюя Северная,с,"[60.8988888888889,114.818055555556]",60.53.56,114.49.05,60.8988888888889,114.818055555556
98627433101,Республика Саха (Якутия),Ленский,Орто-Нахара,с,"[60.8236111111111,114.324166666667]",60.49.25,114.19.27,60.8236111111111,114.324166666667
98627157051,Республика Саха (Якутия),Ленский,Пеледуй,п,"[59.6266666666667,112.750555555556]",59.37.36,112.45.02,59.6266666666667,112.750555555556
98627440101,Республика Саха (Якутия),Ленский,Толон,с,"[59.4577777777778,111.535833333333]",59.27.28,111.32.09,59.4577777777778,111.535833333333
98627430106,Республика Саха (Якутия),Ленский,Турукта,с,"[60.4794444444444,116.521666666667]",60.28.46,116.31.18,60.4794444444444,116.521666666667
98627449106,Республика Саха (Якутия),Ленский,Хамра,с,"[60.2225,114.126388888889]",60.13.21,114.07.35,60.2225,114.126388888889
98627433106,Республика Саха (Якутия),Ленский,Чамча,с,"[60.8483333333333,114.698333333333]",60.50.54,114.41.54,60.8483333333333,114.698333333333
98627449101,Республика Саха (Якутия),Ленский,Ярославский,с,"[60.1566666666667,113.933055555556]",60.09.24,113.55.59,60.1566666666667,113.933055555556
98629420101,Республика Саха (Якутия),Мегино-Кангаласский,Балыктах,с,"[62.2563888888889,130.723055555556]",62.15.23,130.43.23,62.2563888888889,130.723055555556
98629406101,Республика Саха (Якутия),Мегино-Кангаласский,Бедеме,с,"[62.0041666666667,130.541944444444]",62.00.15,130.32.31,62.0041666666667,130.541944444444
98629410106,Республика Саха (Якутия),Мегино-Кангаласский,Беджелек,с,"[61.9641666666667,130.168055555556]",61.57.51,130.10.05,61.9641666666667,130.168055555556
98629425101,Республика Саха (Якутия),Мегино-Кангаласский,Беке,с,"[61.785,130.372777777778]",61.47.06,130.22.22,61.785,130.372777777778
98629464101,Республика Саха (Якутия),Мегино-Кангаласский,Бырама,с,"[61.4794444444444,130.946666666667]",61.28.46,130.56.48,61.4794444444444,130.946666666667
98629409101,Республика Саха (Якутия),Мегино-Кангаласский,Бютейдях,с,"[61.6288888888889,131.366666666667]",61.37.44,131.22.00,61.6288888888889,131.366666666667
98629465101,Республика Саха (Якутия),Мегино-Кангаласский,Даркылах,с,"[60.9730555555556,130.371944444444]",60.58.23,130.22.19,60.9730555555556,130.371944444444
98629402101,Республика Саха (Якутия),Мегино-Кангаласский,Елечей,с,"[61.7041666666667,131.270555555556]",61.42.15,131.16.14,61.7041666666667,131.270555555556
98629413106,Республика Саха (Якутия),Мегино-Кангаласский,Кердюген,с,"[62.3391666666667,130.131388888889]",62.20.21,130.07.53,62.3391666666667,130.131388888889
98629450101,Республика Саха (Якутия),Мегино-Кангаласский,Ломтука,с,"[61.6383333333333,130.089166666667]",61.38.18,130.05.21,61.6383333333333,130.089166666667
98629415101,Республика Саха (Якутия),Мегино-Кангаласский,Майя,с,"[61.7433333333333,130.275833333333]",61.44.36,130.16.33,61.7433333333333,130.275833333333
98629407101,Республика Саха (Якутия),Мегино-Кангаласский,Матта,с,"[62.3583333333333,130.659444444444]",62.21.30,130.39.34,62.3583333333333,130.659444444444
98629155051,Республика Саха (Якутия),Мегино-Кангаласский,Нижний Бестях,п,"[61.9619444444444,129.912222222222]",61.57.43,129.54.44,61.9619444444444,129.912222222222
98629408101,Республика Саха (Якутия),Мегино-Кангаласский,Нуорагана,с,"[62.1544444444444,131.072222222222]",62.09.16,131.04.20,62.1544444444444,131.072222222222
98629445101,Республика Саха (Якутия),Мегино-Кангаласский,Павловск,с,"[61.8716666666667,129.838055555556]",61.52.18,129.50.17,61.8716666666667,129.838055555556
98629462101,Республика Саха (Якутия),Мегино-Кангаласский,Петровка,с,"[61.7269444444444,130.259166666667]",61.43.37,130.15.33,61.7269444444444,130.259166666667
98629447101,Республика Саха (Якутия),Мегино-Кангаласский,Рассолода,с,"[61.6730555555556,129.648611111111]",61.40.23,129.38.55,61.6730555555556,129.648611111111
98629425106,Республика Саха (Якутия),Мегино-Кангаласский,Сото,с,"[61.8019444444444,130.518055555556]",61.48.07,130.31.05,61.8019444444444,130.518055555556
98629436101,Республика Саха (Якутия),Мегино-Кангаласский,Суола,с,"[61.7272222222222,131.03]",61.43.38,131.01.48,61.7272222222222,131.03
98629405101,Республика Саха (Якутия),Мегино-Кангаласский,Сымах,с,"[61.9263888888889,130.946388888889]",61.55.35,130.56.47,61.9263888888889,130.946388888889
98629448101,Республика Саха (Якутия),Мегино-Кангаласский,Табага,с,"[61.6675,130.941666666667]",61.40.03,130.56.30,61.6675,130.941666666667
98629403101,Республика Саха (Якутия),Мегино-Кангаласский,Тарат,с,"[62.2225,130.6875]",62.13.21,130.41.15,62.2225,130.6875
98629410101,Республика Саха (Якутия),Мегино-Кангаласский,Тектюр,с,"[62.1088888888889,130.029444444444]",62.06.32,130.01.46,62.1088888888889,130.029444444444
98629449101,Республика Саха (Якутия),Мегино-Кангаласский,Телиги,с,"[61.3830555555556,130.695]",61.22.59,130.41.42,61.3830555555556,130.695
98629451101,Республика Саха (Якутия),Мегино-Кангаласский,Томтор,с,"[62.1483333333333,130.049444444444]",62.08.54,130.02.58,62.1483333333333,130.049444444444
98629411101,Республика Саха (Якутия),Мегино-Кангаласский,Тумул,с,"[62.1883333333333,130.674444444444]",62.11.18,130.40.28,62.1883333333333,130.674444444444
98629455101,Республика Саха (Якутия),Мегино-Кангаласский,Тюнгюлю,с,"[62.1975,130.710555555556]",62.11.51,130.42.38,62.1975,130.710555555556
98629460101,Республика Саха (Якутия),Мегино-Кангаласский,Хаптагай,с,"[61.7858333333333,129.790833333333]",61.47.09,129.47.27,61.7858333333333,129.790833333333
98629413101,Республика Саха (Якутия),Мегино-Кангаласский,Хапчагай,с,"[62.3755555555556,130.140277777778]",62.22.32,130.08.25,62.3755555555556,130.140277777778
98629430106,Республика Саха (Якутия),Мегино-Кангаласский,Харба-Атах,с,"[61.7752777777778,130.809444444444]",61.46.31,130.48.34,61.7752777777778,130.809444444444
98629452101,Республика Саха (Якутия),Мегино-Кангаласский,Хатылыма,с,"[61.5425,129.886111111111]",61.32.33,129.53.10,61.5425,129.886111111111
98629445106,Республика Саха (Якутия),Мегино-Кангаласский,Хомустах,с,"[61.84,129.860277777778]",61.50.24,129.51.37,61.84,129.860277777778
98629430101,Республика Саха (Якутия),Мегино-Кангаласский,Хоробут,с,"[61.8355555555556,130.756111111111]",61.50.08,130.45.22,61.8355555555556,130.756111111111
98629440101,Республика Саха (Якутия),Мегино-Кангаласский,Хочо,с,"[61.5669444444444,130.740833333333]",61.34.01,130.44.27,61.5669444444444,130.740833333333
98629463101,Республика Саха (Якутия),Мегино-Кангаласский,Чюйя,с,"[61.7275,130.3675]",61.43.39,130.22.03,61.7275,130.3675
98631152051,Республика Саха (Якутия),Мирнинский,Айхал,п,"[65.9427777777778,111.495277777778]",65.56.34,111.29.43,65.9427777777778,111.495277777778
98631155051,Республика Саха (Якутия),Мирнинский,Алмазный,п,"[62.4502777777778,114.321944444444]",62.27.01,114.19.19,62.4502777777778,114.321944444444
98631450101,Республика Саха (Якутия),Мирнинский,Арылах,с,"[62.38,114.343055555556]",62.22.48,114.20.35,62.38,114.343055555556
98631155106,Республика Саха (Якутия),Мирнинский,Березовка,с,"[62.4486111111111,114.1175]",62.26.55,114.07.03,62.4486111111111,114.1175
98631450106,Республика Саха (Якутия),Мирнинский,Заря,п,"[62.105,114.189166666667]",62.06.18,114.11.21,62.105,114.189166666667
98631101001,Республика Саха (Якутия),Мирнинский,Мирный,г,"[62.5425,113.984166666667]",62.32.33,113.59.03,62.5425,113.984166666667
98631152106,Республика Саха (Якутия),Мирнинский,Моркока,с,"[64.6080555555556,112.5225]",64.36.29,112.31.21,64.6080555555556,112.5225
98631155111,Республика Саха (Якутия),Мирнинский,Новый,п,"[62.4208333333333,114.357777777778]",62.25.15,114.21.28,62.4208333333333,114.357777777778
98631109106,Республика Саха (Якутия),Мирнинский,Полярный,с,"[66.41,112.12]",66.24.36,112.07.12,66.41,112.12
98631157051,Республика Саха (Якутия),Мирнинский,Светлый,п,"[63.0508333333333,113.428611111111]",63.03.03,113.25.43,63.0508333333333,113.428611111111
98631428101,Республика Саха (Якутия),Мирнинский,Сюльдюкар,с,"[63.2283333333333,113.721388888889]",63.13.42,113.43.17,63.2283333333333,113.721388888889
98631404101,Республика Саха (Якутия),Мирнинский,Тас-Юрях,с,"[61.7863888888889,113.023611111111]",61.47.11,113.01.25,61.7863888888889,113.023611111111
98631109001,Республика Саха (Якутия),Мирнинский,Удачный,г,"[66.4086111111111,112.298888888889]",66.24.31,112.17.56,66.4086111111111,112.298888888889
98631162051,Республика Саха (Якутия),Мирнинский,Чернышевский,п,"[63.0166666666667,112.461944444444]",63.01.00,112.27.43,63.0166666666667,112.461944444444
98633414101,Республика Саха (Якутия),Момский национальный,Буор-Сысы,с,"[66.4886111111111,143.049166666667]",66.29.19,143.02.57,66.4886111111111,143.049166666667
98633405101,Республика Саха (Якутия),Момский национальный,Кулун-Елбют,с,"[66.7925,142.735833333333]",66.47.33,142.44.09,66.7925,142.735833333333
98633435101,Республика Саха (Якутия),Момский национальный,Сасыр,с,"[65.1622222222222,147.082222222222]",65.09.44,147.04.56,65.1622222222222,147.082222222222
98633428101,Республика Саха (Якутия),Момский национальный,Соболох,с,"[66.2530555555556,143.313333333333]",66.15.11,143.18.48,66.2530555555556,143.313333333333
98633423106,Республика Саха (Якутия),Момский национальный,Суон-Тит,с,"[66.4319444444444,143.252777777778]",66.25.55,143.15.10,66.4319444444444,143.252777777778
98633423101,Республика Саха (Якутия),Момский национальный,Хонуу,с,"[66.455,143.219722222222]",66.27.18,143.13.11,66.455,143.219722222222
98633430101,Республика Саха (Якутия),Момский национальный,Чумпу-Кытыл,с,"[65.3711111111111,143.150555555556]",65.22.16,143.09.02,65.3711111111111,143.150555555556
98635455101,Республика Саха (Якутия),Намский,Аппаны,с,"[62.7594444444444,129.651111111111]",62.45.34,129.39.04,62.7594444444444,129.651111111111
98635445101,Республика Саха (Якутия),Намский,Булус,с,"[63.3052777777778,129.456388888889]",63.18.19,129.27.23,63.3052777777778,129.456388888889
98635410101,Республика Саха (Якутия),Намский,Бютяй-Юрдя,с,"[62.8272222222222,129.601111111111]",62.49.38,129.36.04,62.8272222222222,129.601111111111
98635466106,Республика Саха (Якутия),Намский,Воин,с,"[62.6247222222222,129.959166666667]",62.37.29,129.57.33,62.6247222222222,129.959166666667
98635455106,Республика Саха (Якутия),Намский,Графский Берег,с,"[62.7747222222222,129.689722222222]",62.46.29,129.41.23,62.7747222222222,129.689722222222
98635443101,Республика Саха (Якутия),Намский,Ергелех,с,"[62.5827777777778,128.868333333333]",62.34.58,128.52.06,62.5827777777778,128.868333333333
98635450101,Республика Саха (Якутия),Намский,Крест-Кытыл,с,"[62.6647222222222,129.703611111111]",62.39.53,129.42.13,62.6647222222222,129.703611111111
98635455111,Республика Саха (Якутия),Намский,Кысыл-Деревня,с,"[62.7830555555556,129.642222222222]",62.46.59,129.38.32,62.7830555555556,129.642222222222
98635465101,Республика Саха (Якутия),Намский,Кысыл-Сыр,с,"[62.5377777777778,129.761944444444]",62.32.16,129.45.43,62.5377777777778,129.761944444444
98635417101,Республика Саха (Якутия),Намский,Кюренг-Ат,с,"[62.7338888888889,129.23]",62.44.02,129.13.48,62.7338888888889,129.23
98635470101,Республика Саха (Якутия),Намский,Маймага,с,"[63.0438888888889,129.519166666667]",63.02.38,129.31.09,63.0438888888889,129.519166666667
98635425101,Республика Саха (Якутия),Намский,Намцы,с,"[62.7186111111111,129.665]",62.43.07,129.39.54,62.7186111111111,129.665
98635432101,Республика Саха (Якутия),Намский,Никольский,с,"[62.6288888888889,129.713055555556]",62.37.44,129.42.47,62.6288888888889,129.713055555556
98635435101,Республика Саха (Якутия),Намский,Партизан,с,"[62.5861111111111,129.771111111111]",62.35.10,129.46.16,62.5861111111111,129.771111111111
98635460101,Республика Саха (Якутия),Намский,Столбы,с,"[62.9977777777778,129.528333333333]",62.59.52,129.31.42,62.9977777777778,129.528333333333
98635405101,Республика Саха (Якутия),Намский,Сыгыннах,с,"[63.3677777777778,129.657777777778]",63.22.04,129.39.28,63.3677777777778,129.657777777778
98635466111,Республика Саха (Якутия),Намский,Тарагай-Бясь,с,"[62.6613888888889,129.942777777778]",62.39.41,129.56.34,62.6613888888889,129.942777777778
98635430101,Республика Саха (Якутия),Намский,Тумул,с,"[62.9025,129.559722222222]",62.54.09,129.33.35,62.9025,129.559722222222
98635447101,Республика Саха (Якутия),Намский,Фрунзе,с,"[63.0755555555556,129.728611111111]",63.04.32,129.43.43,63.0755555555556,129.728611111111
98635420101,Республика Саха (Якутия),Намский,Харыялах,с,"[62.1408333333333,129.736111111111]",62.08.27,129.44.10,62.1408333333333,129.736111111111
98635466101,Республика Саха (Якутия),Намский,Хатас,с,"[62.6805555555556,129.911944444444]",62.40.50,129.54.43,62.6805555555556,129.911944444444
98635440101,Республика Саха (Якутия),Намский,Хонгор-Бие,с,"[62.8430555555556,128.462222222222]",62.50.35,128.27.44,62.8430555555556,128.462222222222
98635415101,Республика Саха (Якутия),Намский,Ымыяхтах,с,"[62.4561111111111,129.885277777778]",62.27.22,129.53.07,62.4561111111111,129.885277777778
98635466116,Республика Саха (Якутия),Намский,Юнер-Олох,с,"[62.7575,129.855277777778]",62.45.27,129.51.19,62.7575,129.855277777778
98660152051,Республика Саха (Якутия),Нерюнгринский,Беркакит,п,"[56.5766666666667,124.775833333333]",56.34.36,124.46.33,56.5766666666667,124.775833333333
98660165106,Республика Саха (Якутия),Нерюнгринский,Большой Хатыми,с,"[57.3797222222222,124.896666666667]",57.22.47,124.53.48,57.3797222222222,124.896666666667
98660154051,Республика Саха (Якутия),Нерюнгринский,Золотинка,п,"[56.1811111111111,124.8625]",56.10.52,124.51.45,56.1811111111111,124.8625
98660405101,Республика Саха (Якутия),Нерюнгринский,Иенгра,с,"[56.2225,124.848888888889]",56.13.21,124.50.56,56.2225,124.848888888889
98660154056,Республика Саха (Якутия),Нерюнгринский,Нагорный,п,"[55.9472222222222,124.9175]",55.56.50,124.55.03,55.9472222222222,124.9175
98660101001,Республика Саха (Якутия),Нерюнгринский,Нерюнгри,г,"[56.6611111111111,124.718888888889]",56.39.40,124.43.08,56.6611111111111,124.718888888889
98660158051,Республика Саха (Якутия),Нерюнгринский,Серебряный Бор,п,"[56.6744444444444,124.836388888889]",56.40.28,124.50.11,56.6744444444444,124.836388888889
98660164051,Республика Саха (Якутия),Нерюнгринский,Хани,п,"[56.9186111111111,119.972222222222]",56.55.07,119.58.20,56.9186111111111,119.972222222222
98660165051,Республика Саха (Якутия),Нерюнгринский,Чульман,п,"[56.8713888888889,124.892777777778]",56.52.17,124.53.34,56.8713888888889,124.892777777778
98637424106,Республика Саха (Якутия),Нижнеколымский,Амбарчик,с,"[69.6261111111111,162.304722222222]",69.37.34,162.18.17,69.6261111111111,162.304722222222
98637411101,Республика Саха (Якутия),Нижнеколымский,Андрюшкино,с,"[69.1725,154.445]",69.10.21,154.26.42,69.1725,154.445
98637424111,Республика Саха (Якутия),Нижнеколымский,Две Виски,с,"[68.3558333333333,160.768333333333]",68.21.21,160.46.06,68.3558333333333,160.768333333333
98637424116,Республика Саха (Якутия),Нижнеколымский,Ермолово,с,"[68.4836111111111,160.491944444444]",68.29.01,160.29.31,68.4836111111111,160.491944444444
98637437101,Республика Саха (Якутия),Нижнеколымский,Колымское,с,"[68.7277777777778,158.703611111111]",68.43.40,158.42.13,68.7277777777778,158.703611111111
98637424121,Республика Саха (Якутия),Нижнеколымский,Крестовая,с,"[70.7152777777778,159.435833333333]",70.42.55,159.26.09,70.7152777777778,159.435833333333
98637424126,Республика Саха (Якутия),Нижнеколымский,Михалкино,с,"[69.4169444444444,161.512222222222]",69.25.01,161.30.44,69.4169444444444,161.512222222222
98637424131,Республика Саха (Якутия),Нижнеколымский,Нижнеколымск,с,"[68.5316666666667,160.926666666667]",68.31.54,160.55.36,68.5316666666667,160.926666666667
98637424101,Республика Саха (Якутия),Нижнеколымский,Походск,с,"[69.0794444444444,160.969444444444]",69.04.46,160.58.10,69.0794444444444,160.969444444444
98637424136,Республика Саха (Якутия),Нижнеколымский,Тимкино,с,"[68.5147222222222,160.121666666667]",68.30.53,160.07.18,68.5147222222222,160.121666666667
98637151051,Республика Саха (Якутия),Нижнеколымский,Черский,п,"[68.7519444444444,161.33]",68.45.07,161.19.48,68.7519444444444,161.33
98637424141,Республика Саха (Якутия),Нижнеколымский,Чукочья,с,"[70.1027777777778,159.613333333333]",70.06.10,159.36.48,70.1027777777778,159.613333333333
98626405101,Республика Саха (Якутия),Нюрбинский,Акана,с,"[63.5969444444444,119.093888888889]",63.35.49,119.05.38,63.5969444444444,119.093888888889
98626445101,Республика Саха (Якутия),Нюрбинский,Антоновка,с,"[63.2861111111111,118.400555555556]",63.17.10,118.24.02,63.2861111111111,118.400555555556
98626425106,Республика Саха (Якутия),Нюрбинский,Арангастах,с,"[63.1883333333333,117.876111111111]",63.11.18,117.52.34,63.1883333333333,117.876111111111
98626430101,Республика Саха (Якутия),Нюрбинский,Бысыттах,с,"[63.5777777777778,117.453333333333]",63.34.40,117.27.12,63.5777777777778,117.453333333333
98626413101,Республика Саха (Якутия),Нюрбинский,Дикимдя,с,"[63.3833333333333,118.341944444444]",63.23.00,118.20.31,63.3833333333333,118.341944444444
98626414101,Республика Саха (Якутия),Нюрбинский,Едей,с,"[63.6013888888889,119.440277777778]",63.36.05,119.26.25,63.6013888888889,119.440277777778
98626415101,Республика Саха (Якутия),Нюрбинский,Жархан,с,"[63.5186111111111,118.822777777778]",63.31.07,118.49.22,63.5186111111111,118.822777777778
98626455106,Республика Саха (Якутия),Нюрбинский,Киров,с,"[63.5844444444444,118.690833333333]",63.35.04,118.41.27,63.5844444444444,118.690833333333
98626425101,Республика Саха (Якутия),Нюрбинский,Кюндяде,с,"[63.2183333333333,118.144166666667]",63.13.06,118.08.39,63.2183333333333,118.144166666667
98626410101,Республика Саха (Якутия),Нюрбинский,Малыкай,с,"[63.5061111111111,117.033888888889]",63.30.22,117.02.02,63.5061111111111,117.033888888889
98626460101,Республика Саха (Якутия),Нюрбинский,Мар,с,"[63.5202777777778,118.988055555556]",63.31.13,118.59.17,63.5202777777778,118.988055555556
98626445106,Республика Саха (Якутия),Нюрбинский,Нефтебаза,с,"[63.2725,118.464444444444]",63.16.21,118.27.52,63.2725,118.464444444444
98626101001,Республика Саха (Якутия),Нюрбинский,Нюрба,г,"[63.2825,118.340833333333]",63.16.57,118.20.27,63.2825,118.340833333333
98626450101,Республика Саха (Якутия),Нюрбинский,Нюрбачан,с,"[63.3347222222222,118.108055555556]",63.20.05,118.06.29,63.3347222222222,118.108055555556
98626465101,Республика Саха (Якутия),Нюрбинский,Сайылык,с,"[63.9897222222222,118.647222222222]",63.59.23,118.38.50,63.9897222222222,118.647222222222
98626470106,Республика Саха (Якутия),Нюрбинский,Салтаны,с,"[63.3605555555556,118.72]",63.21.38,118.43.12,63.3605555555556,118.72
98626452101,Республика Саха (Якутия),Нюрбинский,Сюля,с,"[63.3341666666667,118.288611111111]",63.20.03,118.17.19,63.3341666666667,118.288611111111
98626440101,Республика Саха (Якутия),Нюрбинский,Хаты,с,"[63.6258333333333,116.673888888889]",63.37.33,116.40.26,63.6258333333333,116.673888888889
98626455101,Республика Саха (Якутия),Нюрбинский,Хатын-Сысы,с,"[63.5919444444444,118.845555555556]",63.35.31,118.50.44,63.5919444444444,118.845555555556
98626470101,Республика Саха (Якутия),Нюрбинский,Чаппанда,с,"[63.4211111111111,118.613888888889]",63.25.16,118.36.50,63.4211111111111,118.613888888889
98626405106,Республика Саха (Якутия),Нюрбинский,Чкалов,с,"[63.6983333333333,119.264722222222]",63.41.54,119.15.53,63.6983333333333,119.264722222222
98626475101,Республика Саха (Якутия),Нюрбинский,Чукар,с,"[63.7475,117.968611111111]",63.44.51,117.58.07,63.7475,117.968611111111
98626420101,Республика Саха (Якутия),Нюрбинский,Ынахсыт,с,"[63.5686111111111,119.205]",63.34.07,119.12.18,63.5686111111111,119.205
98626435101,Республика Саха (Якутия),Нюрбинский,Энгольжа,с,"[63.6586111111111,118.275833333333]",63.39.31,118.16.33,63.6586111111111,118.275833333333
98639410106,Республика Саха (Якутия),Оймяконский,Агаякан,с,"[63.3355555555556,141.731388888889]",63.20.08,141.43.53,63.3355555555556,141.731388888889
98639153051,Республика Саха (Якутия),Оймяконский,Артык,п,"[64.1805555555556,145.130833333333]",64.10.50,145.07.51,64.1805555555556,145.130833333333
98639410111,Республика Саха (Якутия),Оймяконский,Аэропорт,с,"[63.2452777777778,143.182777777778]",63.14.43,143.10.58,63.2452777777778,143.182777777778
98639405106,Республика Саха (Якутия),Оймяконский,Берег-Юрдя,с,"[63.4541666666667,142.896666666667]",63.27.15,142.53.48,63.4541666666667,142.896666666667
98639153106,Республика Саха (Якутия),Оймяконский,Делянкир,с,"[63.8377777777778,145.603611111111]",63.50.16,145.36.13,63.8377777777778,145.603611111111
98639410116,Республика Саха (Якутия),Оймяконский,Куйдусун,с,"[63.2591666666667,143.248333333333]",63.15.33,143.14.54,63.2591666666667,143.248333333333
98639427106,Республика Саха (Якутия),Оймяконский,Куранах-Сала,с,"[63.1402777777778,144.442777777778]",63.08.25,144.26.34,63.1402777777778,144.442777777778
98639445106,Республика Саха (Якутия),Оймяконский,Кюбеме,с,"[63.4280555555556,140.600277777778]",63.25.41,140.36.01,63.4280555555556,140.600277777778
98639405101,Республика Саха (Якутия),Оймяконский,Оймякон,с,"[63.4636111111111,142.786666666667]",63.27.49,142.47.12,63.4636111111111,142.786666666667
