oktmo,region,municipality,settlement,type,Геоточка,latitude_dms,longitude_dms,latitude_dd,longitude_dd
98606745902,Республика Саха (Якутия),Аллаиховский,Ойотунг,с,"[70.6522222222222,148.682777777778]",70.39.08,148.40.58,70.6522222222222,148.682777777778
98606476101,Республика Саха (Якутия),Аллаиховский,Оленегорск,с,"[69.8113888888889,147.486388888889]",69.48.41,147.29.11,69.8113888888889,147.486388888889
98606450101,Республика Саха (Якутия),Аллаиховский,Русское Устье,с,"[71.1330555555556,149.278888888889]",71.07.59,149.16.44,71.1330555555556,149.278888888889
98606424101,Республика Саха (Якутия),Аллаиховский,Чкалов,с,"[70.5327777777778,144.7025]",70.31.58,144.42.09,70.5327777777778,144.7025
98606151051,Республика Саха (Якутия),Аллаиховский,Чокурдах,п,"[70.6194444444444,147.898333333333]",70.37.10,147.53.54,70.6194444444444,147.898333333333
98608405101,Республика Саха (Якутия),Амгинский,Абага,с,"[61.0430555555556,132.283333333333]",61.02.35,132.17.00,61.0430555555556,132.283333333333
98608414101,Республика Саха (Якутия),Амгинский,Алтанцы,с,"[61.4702777777778,131.501944444444]",61.28.13,131.30.07,61.4702777777778,131.501944444444
98608432101,Республика Саха (Якутия),Амгинский,Амга,с,"[60.8972222222222,131.980555555556]",60.53.50,131.58.50,60.8972222222222,131.980555555556
98608440101,Республика Саха (Якутия),Амгинский,Бетюнцы,с,"[60.9272222222222,132.150277777778]",60.55.38,132.09.01,60.9272222222222,132.150277777778
98608446101,Республика Саха (Якутия),Амгинский,Болугур,с,"[60.6025,131.473611111111]",60.36.09,131.28.25,60.6025,131.473611111111
98608452106,Республика Саха (Якутия),Амгинский,Булун,с,"[60.6861111111111,131.601111111111]",60.41.10,131.36.04,60.6861111111111,131.601111111111
98608429106,Республика Саха (Якутия),Амгинский,Ефремово,с,"[60.4797222222222,131.189722222222]",60.28.47,131.11.23,60.4797222222222,131.189722222222
98608460101,Республика Саха (Якутия),Амгинский,Михайловка,с,"[61.2136111111111,132.681111111111]",61.12.49,132.40.52,61.2136111111111,132.681111111111
98608455101,Республика Саха (Якутия),Амгинский,Мяндиги,с,"[61.1808333333333,132.551388888889]",61.10.51,132.33.05,61.1808333333333,132.551388888889
98608481106,Республика Саха (Якутия),Амгинский,Олом,с,"[61.2788888888889,130.877777777778]",61.16.44,130.52.40,61.2788888888889,130.877777777778
98608429101,Республика Саха (Якутия),Амгинский,Оннес,с,"[60.4613888888889,131.099444444444]",60.27.41,131.05.58,60.4613888888889,131.099444444444
98608452101,Республика Саха (Якутия),Амгинский,Покровка,с,"[60.7586111111111,131.781388888889]",60.45.31,131.46.53,60.7586111111111,131.781388888889
98608472106,Республика Саха (Якутия),Амгинский,Промкомбинат,с,"[60.9027777777778,132.031944444444]",60.54.10,132.01.55,60.9027777777778,132.031944444444
98608458101,Республика Саха (Якутия),Амгинский,Сатагай,с,"[61.5658333333333,131.529722222222]",61.33.57,131.31.47,61.5658333333333,131.529722222222
98608465101,Республика Саха (Якутия),Амгинский,Сулгаччы,с,"[61.5388888888889,132.901944444444]",61.32.20,132.54.07,61.5388888888889,132.901944444444
98608465106,Республика Саха (Якутия),Амгинский,Сэргэ-Бэс,с,"[61.4883333333333,132.891666666667]",61.29.18,132.53.30,61.4883333333333,132.891666666667
98608429111,Республика Саха (Якутия),Амгинский,Тегюльте,с,"[60.1586111111111,130.188611111111]",60.09.31,130.11.19,60.1586111111111,130.188611111111
98608440106,Республика Саха (Якутия),Амгинский,Уорай,с,"[60.9027777777778,132.197777777778]",60.54.10,132.11.52,60.9027777777778,132.197777777778
98608470101,Республика Саха (Якутия),Амгинский,Чакыр 2-й,с,"[60.8458333333333,131.838611111111]",60.50.45,131.50.19,60.8458333333333,131.838611111111
98608472101,Республика Саха (Якутия),Амгинский,Чапчылган,с,"[60.9133333333333,132.031111111111]",60.54.48,132.01.52,60.9133333333333,132.031111111111
98608481101,Республика Саха (Якутия),Амгинский,Эмиссы,с,"[61.3775,131.178611111111]",61.22.39,131.10.43,61.3775,131.178611111111
