№ п/п,"ЧС по характеру и виду источника возникновения, в соответствии с перечнем","Дата, субъект РФ, место, краткое описание чрезвычайной ситуации, причина возникновения ЧС",Уровень ЧС,Количество погибших,Количество пострадавших,Количество пострадавших (в том числе - детей),Количество спасенных,дата введения,район,Год,Тип ЧС
363,природный. гидрология,"Распоряжением главы МР «Таттинский район» М.М. Соровым от 13.05.2018 г. №652-р в связи с повышением уровня воды на р. Амга выше критических, с подтоплением домов в н.п. Дайа-Амгата, Харбалах, Чымнайи и размывами республиканской и муниципальных дорог, введен режим «Чрезвычайная ситуация» с 13.05.2018 г на территории «Таттинский район».Распоряжением главы МР «Таттинский район» М.М. Соровым от 22.06.2018 г. №833-р, в связи со стабилизацией гидрологической обстановки, понижением уровней воды на реках Амга, Алдан и Татта снят режим «Чрезвычайная ситуация» с 22.06.2018 г на территории «Таттинский район».",Муниципальный,,,,,2018-05-13,Таттинский муниципальный район,2018,Весеннее половодье
364,природный. гидрология,"По Протоколу заседания Правительственной комиссии по предупреждению и ликвидации чрезвычайных ситуаций и обеспечению пожарной безопасности ЧС обусловленный прохождением паводка на территории РС (Я), с учетем ее прогноза, с 14.05.2018г. признан как ЧС федерального характера. По Протоколу заседания постоянно действующей рабочей группы Правительственной комиссии по предупреждению и ликвидации чрезвычайных ситуаций и обеспечению пожарной безопасности при угрозе и возникновении чс межРегиональныйионального и федерального характера и комиссии по редупреждению и ликвидации чс и обеспечению пожарной безопасности Красноярского края, в связи со стабилизацией обстановки, с 25.06.2018г. №1 снят ЧС федерального характера",Федеральный,,,,,2018-05-14,Республики Саха (Якутия),2018,Весеннее половодье
365,природный. гидрология,"Распоряжением главы ГО «Якутск» А.С. Николаевым от 15.05.2018 г. №780р в связи с образовавшимся затором ниже поста с. Табага и выше поста мрк. Кангалассы наблюдается интенсивный подъем паводковых вод до критических уровней угрожающий населенным пунктам городского округа «город Якутск», введен режим «Чрезвычайная ситуация» с 15.05.2018 г.Распоряжением главы ГО «Якутск» А.С. Николаевым от 21.05.2018 г. №825р , снят режим «Чрезвычайная ситуация» с 21.05.2018 г.",Муниципальный,,,,,2018-05-15,Городской округ Город Якутск,2018,Весеннее половодье
366,природный. гидрология,"Распоряжением главы МР «Хангаласский район» Г.Ю. Алексеевым от 15.05.2018 г. №533-р в связи со сложившейся оперативной обстановкой ухудшением прохождения паводка на территории МР «Хангаласский район», затоплением части жилого сектора в населенных пунктах сс. Октемцы, Хоточчу, Чкалово, Кытыл-Дюра и угрозой подтопления других населенных пунктов, введен режим «Чрезвычайная ситуация» с 15.05.2018 г на территории «Хангаласский район».Распоряжением главы МР «Хангаласский район» Г.Ю. Алексеевым от 21.05.2018 г. №561-р, в связи со стабилизацией оперативной обстановки по прохождению паводховых вод, отступлением угрозы затопления населенных пунктов, снят режим «Чрезвычайная ситуация» с 21.05.2018 г на территории «Хангаласский район».",Муниципальный,,,,,2018-05-15,Хангаласский муниципальный район,2018,Весеннее половодье
367,природный. гидрология,"Распоряжением главы МО «Россолодинский наслег» И.В. Макаровым от 15.05.2018 г. №61 в связи с повышением уровня воды на р. Лене и затоплением внутрипоселковых дорог и дамб, с нарушением автомобильного сообщения с микрорайонами «Кыпчыла» и «Тайвань», подтоплением преусадебных участков и жилых домов, введен режим «Чрезвычайная ситуация» с 15.05.2018 г на территории «Россолодинский наслег».Распоряжением главы МО «Россолодинский наслег» И.В. Макаров от 20.05.2018 г. №64 , в связи с понижением уровня воды от критической отметки подтопления 415 сантиметра  , ниже на 145 сантиметра, снят режим «Чрезвычайная ситуация» с 20.05.2018 г на территории «Россолодинский наслег».",Муниципальный,,,,,2018-05-15,Мегино-Кангаласский муниципальный район,2018,Весеннее половодье
368,природный. гидрология,"Распоряжением главы МО «Хара-Алданский наслег» Д.А. Старостиным от 16.05.2018 г. №01-07-04-а в связи с приближением к критической отметке гидрологического поста и повышением уровня воды на р. Алдан, введен режим «Чрезвычайная ситуация» г на территории «Хара-Алданский наслег».Распоряжением главы МО «Хара-Алданский наслег» Д.А. Старостиным от 18.05.2018 г. №01-07-06-а в связи со стабильным снижением уровня воды на реке Алдан, снят режим «Чрезвычайная ситуация» с 18.06.2018 г на территории «Хара-Алданский наслег».",Муниципальный,,,,,2018-05-16,Таттинский муниципальный район,2018,Весеннее половодье
369,природный. гидрология,"Распоряжением главы МР «Томпонский район» Я.И. Степановым от 16.05.2018 г. №83 в связи с резким подъемом уровня воды на р. Алдан и поодтоплением населенного пункта с. Охотский-Перевоз и реальной угрозы подтопления п. Хандыга - 86 жилых домов, в которых проживает 271 человек, из них 48 детей, а также 1 участок автодороги, с. Кескил - 178 жилых домов, в которых проживает 568 человек, из них 160 детей, с.Мегино-Алдан - 167 жилых домов, в которых проживает 219  человек, из них 100 детей, введен режим «Чрезвычайная ситуация» «Томпонский район». Распоряжением главы МР «Томпонский район» Я.И. Степановым от 17.05.2018 г. №87 руководствуясь гидрологической обстановкой на территории Усть-Майского района - Томпонского районов, а также стабилизацией уровней паводковых вод, отсутствием угрозы подтопления населенных пунктов Томпонского района, переведен в  режим «Повседневная деятельность.",Муниципальный,,,,,2018-05-16,Томпонский муниципальный район,2018,Весеннее половодье
370,природный. гидрология,"Распоряжением главы МР «Усть-Алданский район» А.В. Федотовым от 17.05.2018 г. №371, 17 мая в результате быстрого продвижения волны вскрытия по реке Алдан на участке - Чериктей и негативности ледового покрытия на участке Дыгдал - Чериктей к вскрытию в ранние сроки произошли заторные явления, накопление воды и затопление населенного пункта Чериктей. В результате повышения уровня воды на р. Алдан в населенном пункте Усть-Алданского района в зоне затопления оказались 6 жилых домов и 15 дворовых территорий, 2 внутрипоселковых автомобильных дорог муниципального значения. 16 мая 2018г. произошло разрушение дамбы озера Илин Ус-Кюеля, в результате поднятия уровня воды в населенном пункте Ус-Кюеля в зоне подтопления оказались 8 дворовых территорий, 4 внутрипоселковых автомобильных дорог, введен режим «Чрезвычайная ситуация» с 17.05.2018 г. на территории «Усть-Алданский район».Распоряжением главы МР «Усть-Алданский район» А.В. Федотовым от 20.09.2018 г. №527, в связи с ликвидацией последствий весеннего паводка на реке Алдан,нормализацией условий жизнедеятельности населения в населенных пунктах, снят режим «Чрезвычайная ситуация» с 20.09.2018 г. на территории «Усть-Алданский район».",Муниципальный,,,,,2018-05-17,Усть-Алданский муниципальный район,2018,Весеннее половодье
371,природный. гидрология,"Распоряжением главы МР «Мегино-Кангаласский Улус» Н. Старостин от 15.05.2018 г. №781, в связи с повышением уровня воды на реке Лена, на малых реках и озерах вследствии весеннего половодья и обильных дождей на территории МР ""Мегино-Кангаласский улус"", введен режим «Чрезвычайная ситуация» с 15.05.2018 на территории «Мегино-Кангаласский улус».Распоряжением Главы МР ""Мегино-Кангаласский райлн"" РС(Я) 24.05.2018 г. №824,  внести измения о введение режима ЧС на территории  МР ""Мегино-Кангаласский район"" в с.Бедимя,в с.Норагана (Жабыльский наслег).Распоряжением главы МР «Мегино-Кангаласский Улус» Н. Старостин от 15.05.2018 г. №781, в связи с повышением уровня воды на реке Лена, на малых реках и озерах вследствии весеннего половодья и обильных дождей на территории МР ""Мегино-Кангаласский улус"", введен режим «Чрезвычайная ситуация» с 15.05.2018 на территории «Мегино-Кангаласский улус».Распоряжением Врио главы района МР ""Мегино-Кангаласский района"" РС(Я) Тарасовым А. от 12.10.2018 г. №1278,в связи со стабилизацией оперативной обстановки на реке Лена и в МО с завершением востановительных работ и оказание материальной помощи населению , снят режим «Чрезвычайная ситуация» с 12.10.2018 г на территории «Хангаласский район».  ,",Муниципальный,,,,,2018-05-15,Мегино-Кангаласский муниципальный район,2018,Весеннее половодье
372,природный. гидрология,"Постановлением главы М0 «Чурапчинский наслег» с. Чурапча С.А.Саргыдаев от 18.05.2018 г. №117, в связи резким повышением уровня воды оз. Когалы свыше уровня критического с западной стороны наслега, с юж. стороны половодьям р.Татты и началом перехода воды с ее стороны в оз. Чурапча, угрозой потапления части населенного пункта находящиеся в низменности и прилегающих к оз. Чурапча, р. Кохара на  территории  , введен режим «Чрезвычайная ситуация» с 18.05.2018 г. на территории «Чурапчинский наслег».",Муниципальный,,,,,2018-05-18,Чурапчинский муниципальный район,2018,Весеннее половодье
373,природный. гидрология,"Распоряжением главы МО «Мегино-Кангаласский Улус» Е.Гавриева от 15.05.2018 г. №67, в связи с повышением уровня воды на реке Лена и затоплением внутрипоселковых дорог и дамб с нарушением автомобобильного сообщения с микрорайоном ""Огдороон"" в целях обеспечения безопасности жизни и здоровья граждан , введен режим «Чрезвычайная ситуация» с 15.05.2018 на территории  «Хаптагайкий наслег».Распоряжением главы МО «Мегино-Кангаласский Улус» Е.Гавриева от 21.05.2018 г. №71, в связи со спадом уровня воды на реке Лена  , снят режим «Чрезвычайная ситуация» с 21.05.2018 на территории  «Хаптагайкий наслег».",Муниципальный,,,,,2018-05-15,Мегино-Кангаласский муниципальный район,2018,Весеннее половодье
374,природный.гидрология,"Распоряжением главы МО «Поселок Нижний Бестях» МР ""Мегино-Кангаласский район"" РС(Я) И.Н.Егоровой от 16.05.2018 г. №294, в связи с резким повышением уровня воды на реке Лена, затоплением дамбы, высокой вероятностью затопления части населенного пункта,для проведения аварийно-спасательных работ и неотложных аварийно-восстановительных работ  и в целях ликвидации ЧС  , введен режим «Чрезвычайная ситуация» с 16.05.2018 г на территории МО «Поселок Нижний Бестях».Распоряжением главы МО «Поселок Нижний Бестях» МР ""Мегино-Кангаласский район"" РС(Я) Ю.Н.Колмаковым от 21.05.2018 г. №311, в связи со снижением уровня воды в реке Лена,снижением угрозы подтопления домов по ул.Пристанская,Подгорная,Проточная  , снят режим «Чрезвычайная ситуация» с 21.05.2018 г на территории МО «Поселок Нижний Бестях».",Муниципальный,,,,,2018-05-16,Мегино-Кангаласский муниципальный район,2018,Весеннее половодье
375,природный. гидрология,"Распоряжением главы МО «Мегино-Кангаласский Улус» Н.Г.Федоров от 16.05.2018 г. №328, в связи с резким повышением уровня воды на реке Лена, разрушением 3 дамб, затоплением 1 дамбы и 3 внутрипоселковых дорог муниципального значения, высокой вероятностью затопления населенного пункта, для проведения аварийно спасательных и неотложных работ  , введен режим «Чрезвычайная ситуация» с 16.05.2018 г на территории МО «Нерюктяйский наслег».Распоряжением главы МО «Мегино-Кангаласский Улус» Н.Г.Федоров от 21.05.2018 г. №331, на оснавании протокола заседания №3 от 21.05.2018 г.  КЧС в связи с падением уровня воды на р.Лена , снят режим «Чрезвычайная ситуация»  с 21.05.2018 на территории МО «Нерюктяйский наслег».",Муниципальный,,,,,2018-05-16,Мегино-Кангаласский муниципальный район,2018,Весеннее половодье
376,природный. гидрология,"Распоряжением главы МО «Кобяйский Улус» И.Н.Спиридонов от 19.05.2018 г. №613-р, в связи с одновременным выходом в русло р.Алдан, р.Вилюй и ледоходом на реке Лена на территории Кобяйского района произошел резкий рост уровня воды в р.Лена на территории Кобяйского района произошел резкий рост уровня воды в р.Лена, введен режим «Чрезвычайная ситуация» с 19.05.2018 г на территории  «с.Батамай, Ситта, Кальвица, Куокуй, п.Сангар».Распоряжением главы  И.И.Левиным от 22.10.2018 г. №1281-р, в связи с окончанием аварийно-восстановительных работ на обьектах, пострадавших от негативного воздействия паводковых вод в 2018 г., на основании решения Комиссии по ЧС и обеспечению пожарной безопасности , снят режим «Чрезвычайная ситуация» с 22.10.2018 г на территории  «с.Батамай, Ситта, Кальвица, Куокуй, п.Сангар».",Межмуниципальный,,,,,2018-05-19,Кобяйский муниципальный район,2018,Весеннее половодье
377,природный. гидрология,"Распоряжением главы МО «Арбынский Наслег» Н.А.Соловьев от 18.05.2018 г. №34, в связи с повышением уровня воды 18 мая 2018 года до критической отметки 856 см. , введен режим «Чрезвычайная ситуация» с 18.05.2018 г на территории МО «Намского улуса.Распоряжением главы МО «Арбынский Наслег» Н.А.Соловьев от 23.05.2018 г. №35, в связи со спадом уровня воды в наслеге, снят режим «Чрезвычайная ситуация» с 23.05.2018 на территории МО «Арбынский наслег.",Муниципальный,,,,,2018-05-18,Намский муниципальный район,2018,Весеннее половодье
378,природный. гидрология,"Распоряжением главы МО «Чурапчинский улус» А.Т.Ноговицын от 21.05.2018 г. №707, осложнением ситуации на автодорогах межпоселкового и муниципального значения в связи с одаками, введен режим «Чрезвычайная ситуация» г на территории МО «Чурапчинский улус.",Муниципальный,,,,,2018-05-21,Чурапчинский муниципальный район,2018,Весеннее половодье
379,природный. гидрология,"Распоряжением главы МО «Алданский наслег» Таттинского района В.Ю.Борисовым от 15.05.2018 г. №31-а в связи с  резким подъемом уровня на реке Алдан, в целях обеспечения режима безопасного и оперативного управления в период весеннего половодья на территории МО ""Алданский наслег""введен режим «Чрезвычайная ситуация» с 15.05.2018 г на территории МО ""Алданский наслег"".Распоряжением главы МО ""Таттинский наслег"" В.Ю.Борисовым от 18.06.2018г. №33-а, в связи со спадом  уровня воды на р.Таатта снят режим ""Чрезвычайная ситуация"" на территории МО ""Алданский наслег""",Муниципальный,,,,,2018-05-15,Таттинский муниципальный район,2018,Весеннее половодье
380,природный. гидрология,"Распоряжением главы МО «Татинский наслег»  Е.И.Павлов от 20.05.2018 г. №65-р в связи с прибытием большого обьема вод и стремительным увеличением уровня р.Таатта, введен режим «Чрезвычайная ситуация» с 20.05.2018 на территории МО ""Таттинский наслег"". Распоряжением главы МО ""Таттинский наслег"" Е.И.Павловым от 04.06.2018г. №74-р в связи с понижением уровня воды в р.Таатта снят режим ""Чрезвычайная ситуация"" на территории МО ""Таттинский наслег"" ",Муниципальный,,,,,2018-05-20,Таттинский муниципальный район,2018,Весеннее половодье
381,природный. гидрология,"Распоряжением главы МО «Жохсогонский наслег»  П.Е.Захаров от 21.05.2018 г. №09-13 в связи с ухудшением паводковой обстановки на р. Таатта , подтопление приусадебных участков жилого сектора села Боробул, введен режим «Чрезвычайная ситуация» на территории МО ""Жохсогонский наслег"".Распоряжением главы МО «Жохсогонский наслег» МР ""Таттинского района"" П.Е.Захаровым  от 04.06.2018 г. №09-14-р., в связи со спадом уровня воды на реке Татта , снят режим «Чрезвычайная ситуация» с 04.06.2018 на территории МО «Жохсогонский наслег»  Таттинского района.",Муниципальный,,,,,2018-05-21,Таттинский муниципальный район,2018,Весеннее половодье
382,природный. гидрология,"Распоряжением главы МО «Октябрьский наслег» Таттинского района   М.Г.Аржаков от 21.05.2018 г. №32-р в связи с ухудшение паводковой обстановки на р. Татта, подтопление участков села Черкех, введен режим «Чрезвычайная ситуация»  на территории МО ""Октябрьский наслег"" Таттинского района.Распоряжением главы МО «Октябрьский наслег» Таттинского района   М.Г.Аржаков от 25.06.2018 г. №44-р в связи со стабилизацией гидрологической обстановки,понижением уровня воды на р.""Татта"" на территории Октябрьского нас лега ,завершением подсчета ущерба от весеннего половодья и с отсутсвием угрозы затопления наслега, снят режим «Чрезвычайная ситуация»  на территории МО ""Октябрьский наслег"" Таттинского района",Муниципальный,,,,,2018-05-21,Таттинский муниципальный район,2018,Весеннее половодье
383,природный. гидрология,"Распоряжением главы МО «Березовский национальный (кочевой) наслег» Среднеколымского района Ю.Ю.Нестеровым от 24.05.2018 г. №42 в связи с повышением уровня воды на р. Березовка, подтоплением дорог и дворовых территорий  села Березовка, введен режим «Чрезвычайная ситуация» с 24.05.2018 на территории  «с.Березовка»",Муниципальный,,,,,2018-05-24,Среднеколымский муниципальный район,2018,Весеннее половодье
384,природный. гидрология,"Распоряжением главы МО «Среднеколымский улус (район)»  Е.М. Слепцовым от 24.05.2018 г. №419-а в связи с повышением уровня воды на р. Березовка, подтоплением дорог и дворовых территорий  села Березовка, введен режим «Чрезвычайная ситуация» с 24.05.2018 на территории ""Березовский национальный (кочевой) наслег""»",Муниципальный,,,,,2018-05-24,Среднеколымский муниципальный район,2018,Весеннее половодье
385,природный. гидрология,"Распоряжением главы МО «Среднеколымский улус (район)»  Е.М. Слепцовым от 25.05.2018 г. №424-а в связи с повышением уровня воды составляет 1231 см (+26 см за 2 ч) при критическом 1200 см, с подтоплением ВПП, социально значимых объектов, введен режим «Чрезвычайная ситуация» с 25.05.2018 на территории МО «Город Среднеколымск» и МО ""Березовский национальный (кочевой) наслег""",Межмуниципальный,,,,,2018-05-25,Среднеколымский муниципальный район,2018,Весеннее половодье
386,природный. гидрология,"Распоряжением главы МО ""п. Нижний Бестях""  МР ""Мегино-Кангаласский район"" РС(Я) И.Н.Егоровой от 16.05.2018 г. №294,  в связи с резким  повышением уровня воды на реке Лена , затоплением дамбы, высокой вероятностью затопления части населенного пункта, для проведения аварийно-спасательных работ и неотложных аварийоно-восстановительных работ на территории МО ""поселок Нижний Бестях"" и в целях ликвидации ЧС, введен режим «Чрезвычайная ситуация» на территории  МО ""п. Нижний Бестях"".Распоряжением главы МО ""п. Нижний Бестях"" Ю.Н. Колмаковым от 21.05.2018 г. №311  в связи со снижением уровня воды на р. Лена, снижением угрозы подтопления домов по ул. Пристанская, Подгорная, Проточная снят режим «Чрезвычайная ситуация» на территории  МО ""п. Нижний Бестях"".",Муниципальный,,,,,2018-05-16,Мегино-Кангаласский муниципальный район,2018,Весеннее половодье
387,природный. гидрология,"Указом Главы РС (Я) Е.Борисовым от 16.05.2018 №2573, на территории МР «Томпонский район», МР «Мегино-Кангаласский район», МР «Хангаласский район», ГО «город Якутск»",Региональный,,,,,2018-05-16,"Томпонский муниципальный район, Мегино-Кангаласский муниципальный район, Хангаласский муниципальный район, Город Якутск",2018,Весеннее половодье
388,природный. гидрология,"Указом Главы ""г.Якутска"" Е.Борисовым от 18.05.2018  №2575, в связи с затоплением паводковыми водами населенного пункта с.Сыгыннах МО ""Намский улус"" РС(Я), повлекшим материальный ущерб более пяти миллионов рублей и нарушение условий жизнедеятельности пострадавшего населения,  введен режим «Чрезвычайная ситуация» с 18.05.2018 на территории МО «Намский район» РС(Я) ",Региональный,,,,,2018-05-18,Намский муниципальный район,2018,Весеннее половодье
389,природный. гидрология,"Распоряжением главы МО «Усть-Янский улус(район)»  Г.Н.Федоров от 01.06.2018 г. №231/1-ОД в связи со сложившейся обстановкой, связанной с повышением уровня воды р. Яна, выше критической отметки до 1023 см. и подтоплением жилых домов с. Усть-Янск, введен режим «Чрезвычайная ситуация» с 01.06.2018 на территории  МО «Усть-Янский улус(район)».Распоряжением главы МО «Усть-Янский улус(район)» Г.Н.Федоров от 09.06.2018 г. №239-ОД, в связи с падением уровня воды на р.Яна , снят режим «Чрезвычайная ситуация»  с 09.06.2018 на территории МО «Усть-Янский улус(район)».",Муниципальный,,,,,2018-06-01,Усть-Янский муниципальный район,2018,Летне-осенний паводок
390,природный. гидрология,"Распоряжением главы МО «Казачинский национальный наслег» Усть-Янского района Р.Р.Аллагужиновым от 01.06.2018 г. №61/1-ОД в связи со сложившейся обстановкой, связанной с повышением уровня воды р. Яна, выше критической отметки до 1023 см. и подтоплением жилых домов с. Усть-Янск, введен режим «Чрезвычайная ситуация» с 01.06.2018 на территории  МО «Казачинский национальный наслег».Распоряжением главы МО «Казачинский национальный наслег» Р.Р.Аллагужин от 08.06.2018 г. №63-ОД, в связи с падением уровня воды на р.Яна , снят режим «Чрезвычайная ситуация»  с 08.06.2018 на территории МО «Казачинский национальный наслег».",Муниципальный,,,,,2018-06-01,Усть-Янский муниципальный район,2018,Летне-осенний паводок
391,природный. гидрология,"Распоряжением главы МО «Усть-Янский национальный наслег» Усть-Янского района И.В.Гороховым от 31.05.2018 г. №50-ОД в связи со сложившейся обстановкой, связанной с повышением уровня воды р. Яна, выше критической отметки до 1023 см. и подтоплением жилых домов с. Усть-Янск, введен режим «Чрезвычайная ситуация» с 31.05.2018 на территории  МО «Усть-Янский национальный наслег».Распоряжением главы МО «Усть-Янский национальный наслег» И.В.Горохов от 07.06.2018 г. №54-ОД, в связи с падением уровня воды на р.Яна , снят режим «Чрезвычайная ситуация»  с 07.06.2018 на территории МО «Усть-Янский национальный наслег».",Муниципальный,,,,,2018-05-31,Усть-Янский муниципальный район,2018,Весеннее половодье
392,природный. гидрология,"Распоряжением главы Врио РС(Я) А.Николаевым от 22.06.2018 г. №2695 в связи с затоплением паводковыми водами населенных пунктов с.Березовка (сельское поселение ""Березовский национальный (кочевой) наслег"").г. Среднеколымск, введен режим «Чрезвычайная ситуация» с 24.05.2018 на территории  МО «Среднеколымский район» РС(Я)",Региональный,,,,,2018-06-22,Среднеколымский муниципальный район,2018,Летне-осенний паводок
393,природный. гидрология,"Распоряжением главы МО «ЧН Халарчинский наслег» Нижнеколымского района П.А. Котельниковым от 01.06.2018 г. №65 в связи со сложной обстановкой, вызванной повышением уровня р. Колыма, угрожающей подтоплением дворовых территорий и жилых домов. угрозой затопления системы электрообеспечения и теплоснабжения на территории с. Колымское введен режим «Чрезвычайная ситуация» с 01.06.2018 на территории  МО «ЧН Халарчинский наслег».",Муниципальный,,,,,2018-06-01,Нижнеколымский муниципальный район,2018,Летне-осенний паводок
394,природный.гидрология,"Указом Врио Главы Республики Саха (Якутия) А.С. Николаевым от 02.06.2018  №2640, в связи с затоплением паводковыми водами населенного пункта с.Усть-Янск (района) РС (Я), в результате которого количество пострадавших составило 265 человек,  введен режим «Чрезвычайная ситуация» Региональныйионального характера с 02.06.2018 на территории  МО «Усть-Янский район»РС(Я) ",Региональный,,,,,2018-06-02,Усть-Янский муниципальный район,2018,Летне-осенний паводок
395,природный.гидрология,"Распоряжением главы администрации МР «Нижнеколымский район"" РС(Я) И.П.Суздоловым от 05.06.2018 г. №190,  введен режим «Чрезвычайная ситуация» с 05.06.2018 на территории  для органов управления сил и средств Нижнеколымского районного звена Якутской территориальной подсистемы Единой государственной системы предупреждения и ликвидации ЧС",Муниципальный,,,,,2018-06-05,Нижнеколымский муниципальный район,2018,Летне-осенний паводок
396,природный. гидрология,Указом Врио Главы Республики Саха (Якутия) № 2639 от 01 июня 2018г. введен режим «ЧРЕЗВЫЧАЙНАЯ СИТУАЦИЯ» Региональныйионального характера на территории МО «Чукотский национальный Халарчинский наслег» муниципального района «Нижнеколымский район» Республики Саха (Якутия),Региональный,,,,,2018-06-01,Нижнеколымский муниципальный район,2018,Летне-осенний паводок
397,природный. гидрология,"Указом Врио Главы Республики Саха (Якутия) А.С. Николаевым от 07.06.2018  №2650, в связи с затоплением паводковыми водами населенного пункта с. Походск (МО ""Походский наслег"") Нижнеколымского улуса (района) РС (Я), в результате которого в зоне подтопления оказалось население в количестве 128 человек, в том числе 35 детей,  введен режим «Чрезвычайная ситуация» Региональныйионального характера с 07.06.2018 на территории  МО «Походский наслег» ",Региональный,,,,,2018-06-07,Нижнеколымский муниципальный район,2018,Летне-осенний паводок
398,лесной пожар," Постановлением И.О главы Усть-Майского улуса В.А.Илларионовым 29 мая 2018 г №313-П объявить режим чрезвычайной ситуации муниципального характера в лесах , возникшей вследствии лесных пожаров на территории ""Усть-Майского улуса (района)"". Постановление И.О главы Усть-Майского улуса В.А.Илларионовым , в связи со стабилизацией лесопожарной обстановки , ликвидации лесного пожара №1А : отменить с 1 июня 2018 года режим чрезвычайной ситуации муниципального характера в лесах , возникшей вследствие лесных пожаров на территории ""Усмть-Майского райоа"".        ",Муниципальный,,,,,2018-05-29,Усть-Майский муниципальный район,2018,Природные пожары
399,             лесной пожар ,"Распоряжением главы муниципального образования ""Таттинского наслега"" Е.И.Павловым 20 мая 2018 г №65-р , признать ситуацию сложившуюся 20 мая 2018 года на территории муниципального образования ""Таттинский наслег"" режим ""чрезвычайной ситуации"". Распоряжением главы МР""Таттинского района"" М.М.Соровым от  22 июня 2018 г 832-р. , в связи с ликвидацией лесного пожара и установлением 2-3 класса пожарной опасности в лесах на территории Таттинского улуса , снят режим ЧС на территории МО ""Таттинский улус"" РС(Я) с 22.06.2018 г.",Муниципальный,,,,,2018-05-20,Таттинский муниципальный район,2018,Природные пожары
400,лесной пожар ,"Распоряжением главы МР «Вилюйский улус» от 02.07.2018 №499 введен режим «Чрезвычайная ситуация» в лесах муниципального характера на территории Вилюйского района.Распоряжением главы МР «Вилюйский улус» С.Н.Винокуровым от 01.08.2018 №600, снят режим «Чрезвычайная ситуация» в лесах муниципального характера на территории Вилюйского района.",Муниципальный,,,,,2018-07-02,Вилюйский муниципальный район,2018,Природные пожары
401,лесной пожар ,"Распоряжением главы МР «Нюрбинский район» от 13.07.2018 №1180, в связи с действующим крупным лесным пожаром, введен режим «Чрезвычайная ситуация» на территории Нюрбинского района.Распоряжением главы МР «Нюрбинский район» А.М.Иннокентьевым от 20.08.2018 г.№1605, в связи со стабилизацией лесопожарной обстановки , снят режим «Чрезвычайная ситуация» на территории Нюрбинского района с 07.08.2018г.",Муниципальный,,,,,2018-07-13,Нюрбинский муниципальный район,2018,Летне-осенний паводок
