№ п/п,"ЧС по характеру и виду источника возникновения, в соответствии с перечнем","Дата, субъект РФ, место, краткое описание чрезвычайной ситуации, причина возникновения ЧС",Уровень ЧС,Количество погибших,Количество пострадавших,Количество пострадавших (в том числе - детей),Количество спасенных,дата введения,район,Год,Тип ЧС
257,"1.1.5. - 1.1.6. Авиационные и ракетно-космические  катастрофы и аварии в аэропортах, на стартовых площадках и в населенных пунк­тах и вне аэропортов, стартовых площадок и населенных пунктов","18.08.2013г. в 10 км от г. Томмот, при выполнении показательных выступлений на республиканском фестивале «Бардовская песня», совершил падение самолет Як-52, принадлежащий ДОСААФ РОСТО Алданского отделения. Возгорания воздушного судна нет.",Муниципальный,1,2,,,2013-08-18,Алданский муниципальный район,2013,Авиационные инциденты
258,техногенный,"Постановлением главы города Удачный от 15.09.2013 года № 90 органы управления силы и средства г. Удачный Мирнинского звена ЯТП РСЧС приведены в режим функционирования «ЧРЕЗВЫЧАЙНАЯ СИТУАЦИЯ». В связи с пожаром в коллекторе совместной прокладки сетей электроснабжения, водопровода, канализации, теплоснабжения, связи и сигнализации постановлением ",Муниципальный,,,,,2013-09-15,Мирнинский муниципальный район,2013,Техногенные пожары
259,природный,"В связи со сложной навигационной обстановкой и ухудшением погодных условий и недопоставкой ТЭР и возникновением реальной угрозы безопасности жизни населения Председателем КЧС и ОПБ МО ""Аллайховский улус (район)"" А.С. Горохов, Распоряжением №2 на территории Аллайховского улуса с 15ч 00 мин 19 сентября 2013 года введен режим ЧС до стабилизации обстановки на территории улуса.",Муниципальный,,,,,2013-09-19,Аллаиховский муниципальный район,2013,Аварии в отопительный сезон
260,техногенный,"В целях недопущения нарушения жизнедеятельности населения, предупреждения ЧС на объектах ЖКХ и социальной напряженности среди населения, связанной с недозавозом котельного топлива, продукции технического назначения, товаров первой необходимости Постановлением №189 от 20 ноября 2013 г., Главой ""Абыйский улус (район)"" РС (Я) на территории Абыйского улуса с 20 ноября 2013 г. и на основании Решения Правительственной комиссии РС (Я) по предупреждению и ликвидации ЧС и обеспечению пожарной безопасности от 19 ноября 2013 г. № 241 ""О дополнительных мерах по бесперебойному функционированию объектов ЖКХ Абыйского района введен режим ЧС до стабилизации обстановки на территории улуса.",Муниципальный,,,,,2013-11-20,Абыйский муниципальный район,муниципальный,район
261,1.1.7. Аварии (катастрофы) на ав-тодорогах (крупные дорожно-транспортные аварии и катастрофы),"В 02.20 (хбр) 04.02.14 года от  на 1155 км ФАД М-56 «Лена» в 2 км от п.Нижний Бестях произошло столкновение микроавтобуса «Истана» г/н У760КЕ, следовавший из с.Павловск в с.Тюнгюлю по с грузовым автомобилем «МАЗ» г/н А610НЕ, следовавшим в попутном направлении. В результате аварии пострадало 14 чел., из них погибло 3 чел (пассажиры а/м «Истана»). ",Локальный,3,11,,11,2014-08-04,Мегино-Кангаласский муниципальный район,2014,"Дорожно-транспортные происшествия, на водном транспорте, АСР"
262,РПГ,"Аллайховский район: В связи со сложной навигационной обстановкой, ухудшением погодных условий, недопоставкой ТЭР и возникновением реальной угрозы безопасности жизни населения Председателем КЧС и ОПБ МО «Аллайховский улус (район)» А.С.Гороховым, на территории Аллайховского улуса с 15ч00мин 19 сентября 2013г введен режим ЧС (Распоряжением №2), до стабилизации обстановки на территории улуса. Распоряжением №4 режим ЧС снят с 25 апреля 2014 года.
Распоряжением председателя КЧС и ОПБ Аллаиховского района Никулина М.Г. №4 от 25.04.2014 г. в связи с завершением завоза ТЭР и стабилизацией обстановки режим «Повышенная готовность» в Аллайховском районе снят.
",Муниципальный,,,,,2014-09-19,Аллаиховский муниципальный район,2014,Аварии в отопительный сезон
263,половодье,"Указом №2700 от 05.06.2014 г. ВрИО Главы Республики Саха (Якутия) Е.А. Борисова «Об объявлении режима чрезвычайной ситуации на территории Верхнеколымского района РС(Я)», в связи с повышением уровня воды на р. Колыма, Ясачная и затоплением п. Зырянка и с. Верхнеколымск Верхнеколымского района, объявлен режим «Чрезвычайная ситуация» Региональныйионального характера на территории Верхнеколымского района.",Региональный,,,,,2014-06-05,Верхнеколымский муниципальный район,2014,Летне-осенний паводок
264,"2.5.1  Высокие уровни воды (половодье, зажор, затор, дождевой паводок), сель                           ","05.06.2014 г. Указом Президента РС(Я) от 05.06.2014 г. №2700 веден режим ЧС на территории МО «Верхнеколымский район» в связи с повышением уровней воды на реках Колыма и Ясачная, подтопленим н.п. Верхнеколымск и Зырянка",Региональный,,2294,,,2014-06-05,Верхнеколымский муниципальный район,2014,Летне-осенний паводок
265,лесные пожары,"Введен режим «Чрезвычайная ситуация» в лесах муниципального характера действует на территории МР «Ленский район», в соответствии с распоряжением главы от 20.06.2014, в связи со сложной лесопожарной обстановкой.",Муниципальный,,,,,2014-06-20,Ленский муниципальный район,2014,Природные пожары
266,лесные пожары,22.06.2014 Распоряжением и.о. главы МР «Олекминский район» на территории Олекминского района введен режим ЧС. (снят Распоряжением №710 ВрИО главы от 1.07.2014) ,Муниципальный,,,,,2014-06-22,Олекминский муниципальный район,2014,Природные пожары
